,TCGA-A1-A0SK,TCGA-A1-A0SO,TCGA-A2-A04P,TCGA-A2-A04Q,TCGA-A2-A04T,TCGA-A2-A04U,TCGA-A2-A0CM,TCGA-A2-A0D0,TCGA-A2-A0D2,TCGA-A2-A0ST,TCGA-A2-A0SX,TCGA-A2-A0T0,TCGA-A2-A0T2,TCGA-A2-A0YE,TCGA-A2-A0YJ,TCGA-A2-A0YM,TCGA-A7-A0CE,TCGA-A7-A0DA,TCGA-A7-A13D,TCGA-A7-A13E,TCGA-A8-A07C,TCGA-A8-A07O,TCGA-A8-A07R,TCGA-A8-A07U,TCGA-A8-A08H,TCGA-A8-A08R,TCGA-AN-A04D,TCGA-AN-A0AL,TCGA-AN-A0AR,TCGA-AN-A0AT,TCGA-AN-A0FJ,TCGA-AN-A0FL,TCGA-AN-A0FX,TCGA-AN-A0G0,TCGA-AN-A0XU,TCGA-AO-A0J4,TCGA-AO-A0J6,TCGA-AO-A0JL,TCGA-AO-A124,TCGA-AO-A128,TCGA-AO-A129,TCGA-AO-A12F,TCGA-AQ-A04J,TCGA-AR-A0TP,TCGA-AR-A0TS,TCGA-AR-A0TU,TCGA-AR-A0U0,TCGA-AR-A0U4,TCGA-AR-A1AH,TCGA-AR-A1AI,TCGA-AR-A1AJ,TCGA-AR-A1AQ,TCGA-AR-A1AR,TCGA-AR-A1AY,TCGA-B6-A0I2,TCGA-B6-A0I6,TCGA-B6-A0IJ,TCGA-B6-A0IQ,TCGA-B6-A0RE,TCGA-B6-A0RT,TCGA-B6-A0RU,TCGA-B6-A0WX,TCGA-B6-A0X1,TCGA-BH-A0AV,TCGA-BH-A0B3,TCGA-BH-A0B9,TCGA-BH-A0BG,TCGA-BH-A0BL,TCGA-BH-A0BW,TCGA-BH-A0DL,TCGA-BH-A0E0,TCGA-BH-A0E6,TCGA-BH-A0RX,TCGA-BH-A0WA,TCGA-BH-A18G,TCGA-BH-A18K,TCGA-BH-A18Q,TCGA-BH-A18V,TCGA-BH-A1F0,TCGA-C8-A12K,TCGA-C8-A12V,TCGA-C8-A131,TCGA-C8-A134,TCGA-D8-A142,TCGA-D8-A143,TCGA-D8-A147,TCGA-E2-A14N,TCGA-E2-A14R,TCGA-E2-A14X,TCGA-E2-A14Y,TCGA-E2-A150,TCGA-E2-A158,TCGA-E2-A159,TCGA-E2-A1AZ,TCGA-E2-A1B5
GAS1,0.68025,-1.60825,-0.54575,1.10725,0.84225,-0.3025,1.09325,1.8459999999999999,1.7145,1.49,2.4305,1.676,0.37625,0.38275,0.983,0.91625,2.0069999999999997,2.06575,0.861,0.8490000000000001,0.18475,0.45325,1.386,0.29425,1.12725,1.22175,-0.50025,1.72775,1.6780000000000002,0.92525,0.185,-0.79775,2.8185,0.5589999999999999,0.205,1.16275,0.21375,0.314,-1.02875,0.81375,1.38375,1.814,1.26,2.032,2.30825,2.40975,-0.1135,1.74675,0.4455,-0.489,0.70475,0.057,1.83575,1.0835,4.1465,1.774,2.39325,-0.581,1.7180000000000002,0.78175,3.7460000000000004,1.621,-0.7455,3.23125,1.64275,0.61325,1.63875,2.2615,1.4175,0.48100000000000004,-2.5610000000000004,1.27175,3.0855,1.7735,2.0835,0.45125,0.193,1.7095,1.393,2.63825,1.98775,1.3715,2.701,1.694,-0.5395,2.4875,-0.2345,-0.0555,0.58575,-0.2065,0.81275,-1.329,1.824,0.49175,-0.24475
NBL1,0.80375,-1.791,0.3435,0.18575,0.08275,1.429,0.80225,-0.765,-0.3605,0.24975,1.27825,0.94625,0.993,-0.09325,0.66525,0.677,0.01275,1.61275,0.55825,0.08199999999999999,0.745,0.79325,-0.0065,0.59775,0.61075,0.91375,-1.1075,0.98175,-1.1655,-0.13175,0.8490000000000001,0.8740000000000001,0.3595,-0.102,-0.38375,0.9395,-0.27625,-0.12325,-0.9470000000000001,0.49225,0.21025,0.03675,-0.11275,0.44075,0.72075,-1.0515,0.25725,0.748,-0.81125,-1.17475,0.13825,0.095,0.86725,-1.369,-0.47625,0.52725,0.1765,-1.54475,0.3405,1.56475,0.17275,1.65325,0.03175,2.3075,0.8740000000000001,-0.7659999999999999,0.588,0.79825,0.39275,2.02625,-0.9785,0.0375,0.7325,0.5455,1.193,-0.63575,-0.15825,0.6455,0.35475,0.87325,-0.01425,0.6605,-0.488,1.3135,0.696,0.34675,-0.5805,0.5489999999999999,2.24725,1.3025,0.33975,-0.767,0.7975,0.06825,0.34575
CDKN1A,1.6535,-1.9927857143,-0.04935714,-0.128571428571429,0.4020714,-0.3968571,0.05514286,-1.06221428571429,-0.7683571,0.17642857142857102,-0.0948571428571429,0.9076428570999999,-0.0506428571,0.19864289999999998,-0.2414285714,-0.1280714,-0.1517142857,0.9885714285714279,-0.20835714285714302,-0.855,-0.5803571,-1.08214285714286,-0.1855,0.4762857,-0.15207142857142902,-0.5024286,-0.10264285710000001,0.14757142857142902,-1.9786428571,0.7278571,-0.184214285714286,-1.124643,-0.02057143,-1.7015,-0.6960714,-0.46171428600000003,-0.5463571428571429,-0.882,-0.3582857,0.2069285714,-0.946,-0.5351428571,0.5821429,0.501,-0.08664286,-1.7609285713999998,1.5945,-0.8035,-1.3475714286000002,-0.611285714285714,0.2494285714,-0.0240714285714286,-0.3606428571428571,-1.0979999999999999,-1.3033571428571398,0.6292142857142861,-0.612,-0.6638571429,-0.222785714285714,-0.49392857142857105,0.3567857143,-0.6053571,-0.2641428571,1.94364285714286,-0.03692857,-1.549714,-0.7447142857142858,0.18735710000000003,1.09078571428571,0.40714290000000003,2.7335714285714303,-1.3345714285999999,-0.4547143,0.16721429999999998,0.6985,-0.9635714285714279,-0.903142857142857,-0.1615,0.562071428571429,-0.3065,0.19635714285714304,0.8028571,-0.42535714285714293,0.6087142857,1.3954285714285701,-0.4661429,-1.56128571428571,-0.44478571428571395,-1.0090709999999998,1.5738571429,-0.518785714285714,-2.300357,1.8375714285714297,-0.2255,-0.4758571
POLD1,-0.3765,-0.23583333329999998,0.08066667,-0.621,-0.7025,-0.8028333000000001,-0.9006666999999999,-0.8395,-0.41133329999999996,-0.946333333333333,-1.87833333333333,-1.1416666667,-1.2021666667,-1.233167,-1.8851666666999998,-1.229667,-0.8616666667,-1.3693333333333302,-0.753333333333333,-1.61833333333333,-1.0675,-1.5203333333333302,-0.139666666666667,-1.394333,-1.4631666666666698,-1.347,-0.7658333333,-0.753666666666667,-0.8791666667,-0.4296667,-1.16,-1.033,-0.9708333,-1.46866666666667,-0.8335,-1.3615,-0.8045,-0.719666666666667,-0.8393333000000001,0.30766666670000004,-0.863,-0.5863333333,-0.7215,-1.17366666666667,-1.593667,-0.8913333333,-0.9656667,-1.13,-0.5591666667,-0.674,-1.0746666667,-1.2770000000000001,-0.785,-1.768,-1.10816666666667,-0.887666666666667,-0.318166666666667,-0.25733333329999997,-0.896333333333333,-0.675333333333333,-0.4121666667,-1.6680000000000001,-1.242,-0.5021666666666671,-0.8638333,-0.5771666999999999,-0.836,-1.080167,-0.7855,-0.8081666999999999,-0.7859999999999999,-1.1641666667,-1.3955,-1.110667,-1.10033333333333,-1.056,-0.636,-0.710666666666667,-1.33583333333333,-0.6343333000000001,-0.854333333333333,-0.6918333000000001,-1.5328333333333302,-1.6136666667,-1.1605,-0.9748333,-1.36766666666667,-0.9056666666666671,-1.464667,-0.685,-1.3559999999999999,-1.027333,-1.426,-0.5311666667,-0.3356667
DCN,-0.52875,0.010875,0.328125,1.884875,0.316875,1.25225,2.4165,-1.613375,1.957875,2.039875,3.05275,2.56125,0.556375,1.232625,0.8335,1.574625,0.389875,2.62875,1.716375,1.418875,1.49325,1.98525,0.000624999999999987,2.5055,4.415,2.1175,-1.0445,2.773375,0.259125,1.04975,1.101875,-0.489,2.379625,1.73975,-0.065375,1.899375,0.375875,-0.445875,-0.454875,1.1159999999999999,1.362125,1.3695,2.11525,-0.018125,2.70375,-0.71925,1.313375,1.709,0.7405,1.177,3.67275,1.81475,3.1665,3.093625,-0.728125,2.355875,-0.08900000000000001,-0.618625,0.899125,2.230375,2.616875,3.3335,-1.041875,3.611,1.38125,-0.18975,1.3215,2.986,2.618125,0.9890000000000001,-0.521,0.634,2.172875,2.069,2.885,0.35600000000000004,0.48625,2.246875,3.660125,2.15525,1.61275,2.4955,1.19525,3.08375,1.285875,1.836125,-0.67625,0.385875,1.81425,0.11800000000000001,1.598,-0.213375,2.84725,2.461,0.211125
BRAF,-0.012,0.141,0.92375,-0.02775,0.25275,-0.1215,0.45625,1.9135,1.683,0.15825,-0.80575,2.1235,1.431,0.7895,0.62125,-0.06475,-0.1155,0.47475,0.61975,0.95275,0.92725,0.726,-0.086,0.826,-0.46225,1.06375,0.337,0.919,1.59925,1.34325,0.847,0.6975,0.60575,0.973,0.75425,0.3925,0.802,1.27225,0.6859999999999999,1.03875,1.63,1.02125,0.32675,1.58275,-0.46075,1.7105,0.90625,-0.01075,1.30825,1.69725,0.36725,0.345,0.5625,1.01175,0.79075,0.19575,1.864,1.591,1.0590000000000002,-0.08,0.307,0.46475,0.846,0.89675,0.13725,0.28525,0.022000000000000002,1.22625,-0.60525,1.0865,2.0375,1.77125,0.5225,0.58025,-0.3095,0.355,-0.789,1.8055,0.49425,0.546,0.665,0.8475,0.688,-0.12675,0.7525,0.4085,1.35425,0.752,-0.1485,0.8395,0.84825,0.8605,0.9945,0.595,0.19825
AMHR2,-3.147,-3.0581666667,-2.4786669999999997,-3.1948333333333303,-3.2439999999999998,-1.8831669999999998,-2.944667,-2.48966666666667,-2.836667,-3.01833333333333,-3.04133333333333,-2.3178333333000003,-2.2253333333,-2.6558330000000003,-2.3446666667,-2.330833,-2.3533333333,-2.14266666666667,-3.1733333333333302,-2.0513333333333303,-2.5465,-2.269,-2.73633333333333,-2.2795,-2.1763333333333303,-2.804,-2.8715,-2.7448,-2.2273333333000003,-2.661,-2.36133333333333,-2.399667,-2.761333,-2.52666666666667,-2.3176669999999997,-2.7976666669999997,-3.448,-2.331,-2.426,-2.6155,-2.3125,-2.0891666666999997,-3.1918330000000004,-2.69183333333333,-2.3275,-2.1905,-2.767833,-2.391,-2.7878333333,-2.57616666666667,-1.7476666666999998,-2.1788333333333303,-2.80983333333333,-1.91166666666667,-2.0031666666666696,-2.52766666666667,-2.63266666666667,-2.2243333333,-2.8835,-2.76583333333333,-2.2645,-2.699333,-2.6365,-2.68483333333333,-2.7755,-3.0825,-2.1815,-1.9591669999999999,-2.0578333333333303,-2.042333,-3.0575,-2.6988333332999996,-2.3443330000000002,-2.661,-2.2558333333333302,-1.6715,-2.745,-2.13283333333333,-2.2441666666666698,-1.9995,-2.54116666666667,-1.6521669999999997,-2.282,-2.2418333333000002,-2.1321666666666697,-1.7813330000000003,-2.2026666666666697,-1.7391666666666699,-2.284333,-1.6468333333,-2.2598333333333303,0.36683330000000003,-2.4476666666666698,-2.8655,-1.7406669999999997
BID,0.311375,0.634,-0.090625,-0.114,0.33475,0.753,0.166125,0.4255,0.346375,-0.006625,0.025125,0.294125,-0.79925,-0.1955,0.278,0.8315,-0.092,-0.65975,0.884875,-0.14825,0.875125,1.115375,-0.2965,0.218125,0.722375,-0.815125,0.654125,-0.04775,0.51125,1.3,1.575125,0.084,0.581,1.19475,0.15925,0.001375,-0.08675,-0.5625,0.983125,-0.49425,0.72,1.921125,0.21600000000000003,0.0555,-0.577375,0.862,-0.28800000000000003,0.98375,0.9855,0.279625,0.704875,-0.083125,0.80275,1.09575,0.621125,0.701125,0.85525,0.267625,-0.087875,0.402375,0.065,-0.377875,0.47,-0.545625,-0.30375,0.3975,-0.381375,0.166125,0.287625,-0.237375,-1.475875,0.467125,0.994125,0.062875,0.54775,1.216,-0.322,1.635125,0.551875,1.3659999999999999,0.178625,0.001,0.162875,-0.744375,0.451125,0.815125,1.386375,0.0155,0.242125,0.3325,-0.24175,1.116625,-0.062,0.07325,0.31325
ID3,-1.9065,0.115,-0.3911,-1.0325,-1.5835,-1.2903,-0.6272,-0.7168,-0.4587,-0.7559,-0.5820000000000001,-1.2358,-0.8644,0.7203,-1.6106,-0.9727,1.3924,-1.6611,-0.2287,-1.5577,-1.0192,-1.6141,-1.4573,-0.9112,0.375,-1.2651,-1.729,-0.3113,-1.6343,-1.1574,-0.5088,-0.9749,-1.1393,-1.5275,0.2136,-1.0036,-1.2235,1.0085,-1.7876,-1.0004,-0.9339,-0.7807,-0.2178,0.9896,-0.1543,-1.9761,-1.6042,-0.8084,-1.4397,-1.3012,-0.7855,-0.8791,-1.0921,-0.8404,-0.4637,-0.7109,-0.9424,-1.271,-1.2269,-1.025,-0.5502,-0.2649,-0.5521,-0.6444,-0.312,-1.1948,-1.0076,-0.4587,-0.3854,-1.0861,-1.2938,-1.0858,-0.5894,-0.4617,-0.3651,-1.1762,-1.7732,-1.1443,0.1017,-1.6547,-1.183,-0.5519,-1.6993,-0.7173,-1.3978,-1.2965,-1.4634,-1.3508,-1.4681,0.777,-1.298,-1.7676,-0.4471,-0.5165,-0.6
RFWD2,0.9516666667,0.23399999999999999,0.9996666999999999,1.31416666666667,1.073833,0.9161667,0.8173333,0.8235,-0.2486667,0.5251666666666671,0.747833333333333,0.9948333333,2.2818333333000003,0.976,1.2655,0.3548333,1.44,0.8138333333333342,0.2465,1.13966666666667,1.071833,0.6845,0.9275,0.2963333,0.14400000000000002,1.085833,1.8030000000000002,1.163,0.5293333333,0.2233333,0.816833333333333,0.7901667,0.7835,0.9611666666666671,0.5821666999999999,0.667333333,0.4503333333333329,1.43616666666667,0.6966667,0.9541666667,0.9345,1.0273333332999999,0.9890000000000001,0.4811666666666671,0.7205,1.4711666666999998,0.7331667,0.1953333,1.4713333333,1.23183333333333,0.8,0.8431666666666671,0.46833333333333294,1.6738333333333302,1.37233333333333,-0.3771666666666671,1.26316666666667,1.4505,1.7463333333333302,0.133666666666667,0.17716666670000003,1.9496669999999998,-0.0398333333,0.3885,-0.3916667,1.453,1.06983333333333,0.9408333000000001,0.23816666666666697,0.8366667,2.22633333333333,1.5358333333,1.6019999999999999,0.5745,1.4298333333333302,1.82983333333333,0.7855,0.575,0.9145,0.3855,0.5188333333333329,0.8028333000000001,0.41166666666666707,0.6503333333,1.00833333333333,0.4245,0.591666666666667,0.6585,1.080333,0.4675,0.743833333333333,0.47883329999999996,1.29316666666667,0.594,0.24016669999999998
MAML2,-1.28825,2.47175,0.0995,0.89425,1.97125,0.74225,0.5455,0.6005,0.43225,0.68925,0.59275,1.013,0.524,1.4525,0.7455,1.0875,0.07400000000000001,2.37975,-0.1385,0.96725,-0.2575,-0.31875,1.2445,-0.02225,0.18225,1.329,1.266,1.0270000000000001,1.692,1.12625,0.56575,1.161667,0.2045,2.463,0.909,1.153,0.985,-0.2125,1.2309999999999999,0.5995,0.66625,0.204,0.35025,1.9355,2.1365,0.6575,0.787,0.67725,-0.1095,1.35625,-0.2395,0.38525,0.74525,0.45875,-0.47600000000000003,1.38775,0.105,-0.5075,1.276,1.29225,0.4035,0.23025,-1.13225,2.34575,0.67175,0.3165,1.91275,0.66875,1.8655,-0.26025,0.243,-0.0175,0.5565,0.7929999999999999,0.7825,0.43875,1.034,1.187,1.5395,1.41425,1.159,0.4875,0.70225,1.45175,0.54375,1.13675,0.73,1.31575,2.0405,-0.303,1.44975,0.36475,0.8395,0.6595,1.1485
PPP3R2,0.23816666670000003,0.0805,0.4426667,-0.2256,-0.091,-0.10516669999999999,0.4905,0.18,0.23333330000000002,0.271,-0.129333333333333,0.4078333333,0.29100000000000004,0.18616670000000002,0.3581666667,0.222,0.9561666667000001,0.248,0.48475,0.0228333333333333,0.1048333,0.45299999999999996,0.071,0.0755,1.01216666666667,0.1755,0.0676666667,0.29366666666666696,0.1225,-0.3628333,0.2765,0.5501666999999999,0.20600000000000002,-0.40483333333333293,0.2803333,0.205833333,-0.217,-0.2845,0.1955,0.2535,0.22933330000000002,-0.1045,0.1965,-0.0075,-0.1766667,0.1586666667,0.2261667,0.4316667,0.5938333333,-0.087,0.17600000000000002,0.29516666666666697,0.706333333333333,0.802833333333333,0.491,0.327,-0.6155,0.21483333329999998,0.108333333333333,-0.1255,0.111,0.07,0.23616666670000003,-0.3435,-0.151,-0.708,0.00883333333333333,0.15933329999999998,0.0965000000000001,-0.087,0.560333333333333,0.1765,0.2131667,0.30483330000000003,0.19399999999999998,0.27133333333333304,0.053,-0.0186666666666667,0.27133333333333304,0.2441667,0.4848333333333329,0.2003333,0.18683333333333302,0.1651666667,0.4665,0.0965,0.5921666666666671,-0.4875,-0.01216667,-0.049,0.191,0.2771667,0.646833333333333,0.20133333329999997,-0.1043333
FAS,-1.55275,-1.88875,0.486625,2.658875,1.9815,-0.169625,1.44225,-0.153375,1.323125,2.573375,1.859875,-0.94875,0.1875,0.440375,-0.85725,0.367125,0.55775,0.62025,0.254,-1.090375,-0.3325,1.684375,1.537625,2.685375,1.9869999999999999,0.55275,-0.40725,0.529375,0.789875,-0.62575,1.86475,-1.427125,0.78925,0.15125,1.551,1.644875,1.19925,0.168125,0.709625,2.82425,0.389875,-0.313125,0.29,1.554,1.523375,1.599875,2.732625,2.718375,-0.881375,3.413625,1.96025,1.9155,1.2990000000000002,2.38425,1.213875,1.64375,0.716125,-1.145125,1.237625,2.01875,0.311875,1.064375,3.536375,0.32299999999999995,1.409,1.836875,1.90775,1.063125,2.9410000000000003,1.3255,-1.69775,0.650125,0.717125,1.063625,0.275625,2.279,1.829,2.707,1.7345,3.101875,2.556875,0.480125,-0.34275,0.33875,1.189125,1.68875,1.107375,0.069125,1.460875,-0.002,2.234625,-2.167875,0.932375,2.824,0.075125
TP73,1.83175,-0.721625,0.009375,-0.337375,0.44375,0.640125,-0.495,0.7065,-0.620375,-0.45125,-0.36925,0.244875,-0.3125,-0.136125,-0.4775,0.856625,0.462,-0.24125,-0.604875,-0.249375,-0.23425,-0.157875,0.41525,-0.09775,-0.12125,-0.273,0.562,-0.079625,-0.217125,-0.334875,0.29275,-0.11425,-0.22175,-0.614,-0.1805,-0.3995,-0.640375,0.17325,0.111625,-0.375375,-0.30175,-0.25475,0.5355,0.266375,-0.041625,-0.19325,-0.234875,-0.325875,0.019,-0.042875,-0.064375,-0.525875,-0.9345,-0.180571428571429,-0.35525,-0.23325,-0.110875,-0.319,-0.43475,-0.19575,-0.19725,0.17825,-0.4915,0.145625,-0.852375,-0.275125,-0.50075,-0.517875,0.378875,1.07675,-0.29075,0.175125,-0.195125,-0.352875,0.568,-0.2935,0.213625,-0.478875,-0.561375,-0.39825,-0.49375,-0.281625,0.3555,-0.310125,1.285375,0.677,-0.533875,-0.22975,0.019,0.41375,-0.4615,0.207375,0.85925,-0.948125,0.018875
APAF1,-0.2235,0.172,-0.155,-0.557,-1.171,-1.56,-0.759,-0.057999999999999996,-0.6795,-0.57,0.293,-1.8545,-1.093,-0.948,-1.2805,-1.11,-1.694,-0.243,-0.4665,-1.3515,-0.784,-1.7645,-0.899,-0.7909999999999999,-1.0645,-1.2075,0.4745,-0.8490000000000001,-0.254,-0.5825,0.008,-1.5905,-0.0245,-0.7490000000000001,-1.0755,-1.3445,0.0925,-0.2795,-0.4955,-0.039,-0.1875,-0.8909999999999999,-1.4280000000000002,-0.8105,-1.8145,1.577,-1.402,-1.7015,-0.3715,-0.7515,-0.3185,-0.48,-0.71,0.1285,-0.076,-0.0635,0.025,0.055,-1.064,-0.243,-1.4280000000000002,-1.639,-1.341,-1.124,-0.887,0.1415,-0.2105,-0.614,-0.35600000000000004,-0.6165,-0.9135,-1.1785,-1.3135,-1.358,-1.402,0.1175,-0.852,-0.16,-1.9665,-0.758,-0.0765,0.1485,0.1445,-0.129,-1.574,-0.5085,-0.765,0.4235,-0.614,-1.0885,-0.6315,0.3455,0.022000000000000002,-0.687,-0.775
ACVR1C,-1.082,-1.6756666667,-0.0475,0.713666666666667,-0.396,-1.9613330000000002,-0.5741666999999999,-1.5645,-0.7805,-0.345666666666667,1.5533333333333301,-0.807,-0.287,-0.203,-1.3515,-0.889,-0.0628333333,-1.8525,-0.16399999999999998,-0.7875,-1.2395,-1.12783333333333,0.0861666666666667,1.8,2.035,-0.7878333000000001,-1.1135,0.27866666666666695,0.5761666667,-0.5345,2.1536666666666697,-2.3273330000000003,0.7815,-0.741666666666667,0.1978333,-0.375833333,-0.591666666666667,-2.24366666666667,-1.3355,-1.1283333333,-0.478,-0.4108333333,-0.254,-0.8240000000000001,1.189333,-0.37866666670000004,-0.1215,-0.6795,-0.8838333333,-1.9131666666666698,1.3730000000000002,-1.23366666666667,1.4778333333333302,-0.0338333333333333,-0.3918333333333329,-0.5105,-0.777333333333333,-0.0081666667,-0.618666666666667,0.519,1.0276666667,0.1688333,0.2486666667,-0.3835,1.521833,-0.41266670000000005,0.843,2.9945,1.6765,3.539333,0.870333333333333,1.4963333333000002,0.4235,-0.1193333,-0.3948333333333329,-0.7065,-1.046,-0.5655,2.2401666666666697,-0.5568333000000001,0.255333333333333,-0.5775,-0.876666666666667,-0.2865,-0.821833333333333,0.3236667,-0.4948333333333329,-1.07083333333333,-0.30883330000000003,0.9561666667000001,-0.969666666666667,-1.3259999999999998,-0.318,1.6713333333000002,-0.132
RBX1,-0.69825,-0.14925,-0.41975,-0.47525,-0.04925,-0.30325,-0.04,-0.608,-0.307,-0.33725,-0.45275,-0.38799999999999996,-0.29775,-0.2775,-0.86825,-0.07075,-0.6940000000000001,0.41275,0.248,-0.01025,-0.2815,-0.45875,-0.25075,-0.187,0.3165,0.5579999999999999,0.48200000000000004,0.894,-0.9285,0.22825,-0.2685,0.0205,0.315,0.50975,0.39025,0.17800000000000002,-0.47075,-0.44,0.0325,-0.38299999999999995,0.21525,-0.294,0.20275,0.19275,0.573,-0.26975,-0.2855,0.30775,-0.54275,-0.16675,-0.05325,0.08199999999999999,-0.2315,0.56225,-0.09125,0.255,-0.20875,-0.59775,-0.87575,-0.647,0.49925,-0.5815,-0.30775,-0.0305,-0.4415,-0.6409999999999999,-0.11925,-0.10725,0.586,0.2795,-1.09475,-0.4545,-0.34675,0.27225,-0.3145,-0.96875,0.449,0.43075,0.24925,0.474,0.06125,0.49700000000000005,0.3475,0.625,0.1215,-0.16975,0.22375,0.48025,0.37275,-0.059000000000000004,-0.2125,-0.955,-0.1215,-0.85475,-0.11599999999999999
ATM,-1.0295833333,-1.5148333333000001,-1.66875,-0.9005,-1.7429169999999998,-1.635,-1.47525,-0.931818181818182,-1.48575,-0.2445,-0.707545454545455,-1.5833333333000001,-1.016,-1.464417,-1.0549166667,-1.508083,-2.1913636363999998,-0.677272727272727,-2.3322727272727297,-2.0864545454545502,-1.024167,-1.30175,-1.4578333333333302,-1.07325,-1.4750833333333302,-0.7859999999999999,-1.33825,-0.5775,-0.9543333333,-2.07825,-2.2954166666666698,-0.8118333000000001,-2.5013330000000003,-0.9955,-1.0095,-1.219083333,-1.7269166666666698,-1.35227272727273,-1.527083,-0.4390833333,-1.416333,-1.8705,-1.066417,-1.4218333333333302,-0.1745833,-0.88325,-0.9575,-1.569417,-1.3043333333,-1.7239166666666699,-1.2271666667,-1.47763636363636,-1.385,-1.6965833333333302,-1.3005,-2.2693333333333303,-1.7763333333333302,-1.5874166666999998,-1.6393333333333302,-0.575083333333333,-2.16325,-0.8568333,-1.4070833333000001,-0.7555833333333329,-1.4175,-1.184083,-0.7815,-1.475333,-1.0,-1.103,-0.984833333333333,-1.4133333333000002,-0.8570833000000001,-1.522583,-2.062,-0.887,-1.27208333333333,-1.564,-1.55425,-1.3325,-0.6535,-1.093,-1.6180833333333302,-0.7831666667,-0.903166666666667,-1.243818,-1.432,-1.5035833333333302,-1.232167,-2.0925,-1.4931666666666699,-2.66775,-1.39075,-1.6763333333000001,-0.74075
CASP7,-1.38325,0.804875,0.81725,2.29375,-0.425875,0.4865,1.586125,1.198875,0.268,1.5430000000000001,0.53,-0.528625,0.344625,-0.199625,-0.754625,0.458125,0.019,-0.2095,0.7190000000000001,-1.0525,-0.685,0.87125,1.062375,1.2075,1.2635,0.42825,-0.85175,1.800375,0.747375,0.48375,-0.243125,0.585375,-0.248125,0.97575,0.822375,0.599,1.45475,0.288625,1.115,1.3319999999999999,-0.05925,-0.4885,0.39275,0.26,0.09425,0.28375,1.70525,0.37175,-0.271875,1.119125,1.299125,0.445,0.6365,-0.32075,0.449875,0.2205,0.558625,0.083,0.001875,0.881125,0.736375,0.235875,-0.02825,0.83825,1.26275,0.572625,1.16975,0.86425,1.066375,1.3655,0.1975,-0.220625,0.748125,0.438875,0.827625,0.586625,0.188875,0.511375,0.810625,1.71325,1.690625,0.766875,0.721875,-0.357375,0.52875,0.3005,0.595125,0.730375,0.18125,0.617875,0.295625,-0.066375,0.461,1.272125,0.329375
DLL3,2.463875,2.689375,-1.3330000000000002,-2.047625,-1.021375,0.94025,0.4955,1.145125,-0.906375,-1.19125,-1.06225,-0.131,-0.18425,-1.95775,-0.99725,-0.20325,-0.013125,-1.250125,-0.415125,2.00275,-0.656375,-1.171375,-0.084625,-1.131125,-2.318625,-1.61975,-0.921875,-1.252625,-1.153375,-0.408125,-0.854375,-1.607125,-0.53475,-1.714875,0.0775,-1.383875,0.00162499999999999,-1.18225,-1.391625,-0.933875,-1.612625,0.103875,-1.73975,0.797125,-0.829125,0.378125,-1.5475,0.252125,-1.828625,-1.9565,-1.318875,0.9179999999999999,-0.494375,-0.4825,-1.647125,0.303125,-1.535,-1.172125,-0.5645,-0.748875,0.136875,-0.684125,-0.631625,-2.044375,-1.18925,-0.880375,-2.219875,-1.71025,-1.556875,-1.72725,-1.140625,0.461875,-0.6985,-1.201125,-0.8685,-1.929375,-2.46875,-1.50425,-2.002375,-1.46975,-1.036875,-1.3155,-0.8645,-1.84275,-0.470125,0.431875,-2.453375,-1.483625,-0.778875,-1.1,-1.697875,1.43675,-0.239375,-1.977125,-0.901625
FASLG,0.1439166667,1.6485833333000002,1.896,5.53533333333333,4.0445,2.0133330000000003,4.62075,4.31416666666667,3.086583,4.77216666666667,3.937,2.3530833333000003,2.2924166667,1.8439169999999998,0.7780833333,2.2873330000000003,1.2610833333,2.28733333333333,0.3785454545454551,0.9758333333333342,2.882833,2.3415833333333302,0.6085,3.80375,3.0591666666666697,3.602417,0.5355833333,1.9171666666666698,0.66425,3.1983330000000003,2.82741666666667,0.7988333000000001,2.1709169999999998,2.96891666666667,3.943667,3.804083333,4.96275,1.12536363636364,1.339583,5.4340833333,2.61475,0.38383333329999997,2.15625,0.10800000000000001,3.4645,3.6675833332999996,4.6899169999999994,2.1325830000000003,0.19091666670000002,4.77975,3.6060833333,4.17266666666667,4.69466666666667,1.09909090909091,5.292727272727269,1.6159166666666698,4.34225,1.7540833333,1.36875,5.56825,1.14,1.5669170000000001,4.6390833332999994,2.21366666666667,3.4641669999999998,3.8536669999999997,4.28316666666667,3.509667,4.42941666666667,3.8176669999999997,1.3345,2.8629166667000003,4.128833,3.1109169999999997,1.7119166666666699,2.89008333333333,4.20241666666667,2.93216666666667,4.39358333333333,4.799417,5.3855,2.8408330000000004,3.44,2.7949166667000003,2.8789999999999996,3.24525,2.21775,3.2275833333333304,3.422917,1.6755,2.8645,1.0035,4.52108333333333,4.38,2.9674169999999997
