,TCGA-A1-A0SM,TCGA-A2-A04R,TCGA-A2-A0CT,TCGA-A2-A0CW,TCGA-A2-A0D4,TCGA-A2-A0ER,TCGA-A2-A0EY,TCGA-A2-A0SV,TCGA-A2-A0SW,TCGA-A2-A0T3,TCGA-A2-A0T4,TCGA-A2-A0YG,TCGA-A2-A0YH,TCGA-A7-A0CJ,TCGA-A7-A13F,TCGA-A8-A06N,TCGA-A8-A06O,TCGA-A8-A06Q,TCGA-A8-A06R,TCGA-A8-A06X,TCGA-A8-A06Z,TCGA-A8-A079,TCGA-A8-A07L,TCGA-A8-A07S,TCGA-A8-A07W,TCGA-A8-A07Z,TCGA-A8-A082,TCGA-A8-A084,TCGA-A8-A085,TCGA-A8-A08F,TCGA-A8-A08G,TCGA-A8-A08I,TCGA-A8-A08P,TCGA-A8-A095,TCGA-A8-A096,TCGA-A8-A097,TCGA-A8-A09C,TCGA-A8-A09D,TCGA-A8-A09I,TCGA-A8-A09M,TCGA-A8-A09N,TCGA-A8-A09Q,TCGA-A8-A09R,TCGA-A8-A09W,TCGA-A8-A09Z,TCGA-A8-A0A9,TCGA-A8-A0AB,TCGA-AN-A03Y,TCGA-AN-A041,TCGA-AN-A049,TCGA-AN-A0AJ,TCGA-AN-A0AK,TCGA-AN-A0AM,TCGA-AN-A0AS,TCGA-AN-A0FF,TCGA-AN-A0FK,TCGA-AN-A0FY,TCGA-AN-A0XR,TCGA-AN-A0XW,TCGA-AO-A03O,TCGA-AO-A03P,TCGA-AO-A0J3,TCGA-AO-A0J7,TCGA-AO-A0JC,TCGA-AO-A0JD,TCGA-AO-A0JI,TCGA-AO-A0JM,TCGA-AO-A12B,TCGA-AQ-A04H,TCGA-AR-A0TQ,TCGA-AR-A0TT,TCGA-AR-A0TV,TCGA-AR-A0TY,TCGA-AR-A0TZ,TCGA-AR-A0U2,TCGA-AR-A0U3,TCGA-AR-A1AV,TCGA-B6-A0IB,TCGA-B6-A0IC,TCGA-B6-A0IM,TCGA-B6-A0RL,TCGA-B6-A0WV,TCGA-B6-A0WW,TCGA-B6-A0X5,TCGA-BH-A0AU,TCGA-BH-A0AY,TCGA-BH-A0B5,TCGA-BH-A0BD,TCGA-BH-A0BF,TCGA-BH-A0BZ,TCGA-BH-A0C0,TCGA-BH-A0C3,TCGA-BH-A0C7,TCGA-BH-A0DD,TCGA-BH-A0H0,TCGA-BH-A0HU,TCGA-BH-A0HW,TCGA-BH-A0W3,TCGA-BH-A18F,TCGA-BH-A18J,TCGA-BH-A18L,TCGA-BH-A18U,TCGA-BH-A1EW,TCGA-C8-A12M,TCGA-C8-A12U,TCGA-C8-A12W,TCGA-C8-A12X,TCGA-C8-A1HG,TCGA-C8-A1HL,TCGA-C8-A1HM,TCGA-C8-A1HN,TCGA-D8-A13Y,TCGA-D8-A140,TCGA-E2-A107,TCGA-E2-A109,TCGA-E2-A10A,TCGA-E2-A10C,TCGA-E2-A14O,TCGA-E2-A14S,TCGA-E2-A14W,TCGA-E2-A155,TCGA-E2-A15A,TCGA-E2-A15K,TCGA-E2-A15L,TCGA-E2-A15M,TCGA-E2-A15S,TCGA-E2-A15T
POLD1,-1.8455,-1.484333,-2.06883333333333,-1.911,-1.4436666666666698,-1.84383333333333,-1.6663333333333301,-1.359333,-1.545833,-0.7663333000000001,-1.739,-1.559833,-1.350333,-1.239333,-1.19233333333333,-1.8516669999999997,-0.794,-1.613833,-1.3385,-1.6893330000000002,-1.71,-1.2345,-0.9036666666666671,-1.9131669999999998,-1.46416666666667,-1.4573333333,-1.2486666667,-1.43083333333333,-1.32683333333333,-1.1365,-1.590167,-1.3978333333333302,-1.5365,-1.6625,-1.6018333333333301,-0.8396667,-1.3761666666666699,-1.8068333333333302,-1.82316666666667,-2.0841666667,-1.7828333333333302,-1.4371666666666698,-1.9280000000000002,-1.7333330000000002,-2.0685,-1.3245,-1.464167,-1.3976666667,-1.8485,-1.9166666666666698,-1.3906666669999999,-1.22083333333333,-1.458167,-2.0148333333,-1.48133333333333,-1.6806666666666699,-0.12300000000000001,-1.242167,-1.2086666667000001,-1.097333,-0.5975,-1.9321666667,-1.05733333333333,-1.115,-1.26,-2.15516666666667,-1.67083333333333,-2.1543333333000003,-1.9416666666999998,-1.158167,-1.518833,-1.741167,-1.34116666666667,-1.129,-1.385833,-1.678667,-1.13083333333333,-2.1918330000000004,-1.8931666666666698,-1.6015,-0.898166666666667,-1.5056666666666698,-1.9588330000000003,-0.7345,-2.0396669999999997,-1.94483333333333,-1.535167,-1.5451666667,-2.1321666666666697,-2.1885,-1.643,-2.055,-1.5568333333333302,-1.9845,-0.696833333333333,-1.30433333333333,-1.6991666666666698,-1.430167,-1.452167,-1.7371666666666699,-1.4823333333333302,-1.5493333333333301,-2.1888333333000003,-2.17716666666667,-1.7176669999999998,-1.29633333333333,-1.41033333333333,-1.7156666666999998,-1.479,-0.5655,-1.40433333333333,-1.31583333333333,-1.9616669999999998,-1.7895,-1.6869999999999998,-1.43216666666667,-1.3861666666999999,-1.5505,-1.7875,-1.6281666666666699,-2.2426666667,-1.7868333333333302,-1.251,-1.70283333333333,-1.4516666666999998,-1.141667,-2.03833333333333
DCN,3.687125,1.983,1.551,0.7290000000000001,0.995625,1.61025,2.677625,3.32,2.7655,1.52925,3.662125,1.74125,3.318875,-0.236625,1.18025,-4.0245,2.57,-0.353875,2.753625,1.77475,0.126875,0.661125,2.108375,1.5555,2.893125,1.097625,1.95725,1.95125,2.244625,2.378625,3.002375,1.0965,2.900625,2.3609999999999998,3.749625,3.2769999999999997,2.166875,3.412625,2.030125,1.92825,2.86075,2.54225,3.2960000000000003,2.40375,0.31525,2.544625,1.932125,1.88275,3.194375,2.550375,2.275625,0.842125,2.318,3.468375,2.27125,1.783375,2.468875,1.1645,4.03075,1.27525,1.46075,-0.7095,1.62825,2.02525,-0.185625,2.35075,2.696625,-0.002625,1.32225,2.267125,3.458625,1.028375,1.56675,2.365125,1.734,1.3525,3.2385,0.7325,-1.90525,2.722625,-3.199875,0.96225,2.590375,1.5535,3.453375,3.34975,3.259,2.5965,4.21375,3.676375,1.135875,4.05,2.81525,2.7785,0.305625,0.934375,-0.989875,1.26525,3.550625,3.1239999999999997,-0.42275,2.89925,3.535375,0.54375,-0.456,3.449125,1.120375,2.8305,2.619875,1.516,1.78825,1.262375,1.945125,0.81225,2.459625,2.612625,1.10925,1.740125,0.280625,1.40225,0.721125,2.745125,2.197625,3.190875,3.55625,1.115375,1.133625
BRAF,0.138,-0.13275,0.10025,1.0455,0.6965,0.196,-0.19075,-0.34275,-0.42725,0.1445,0.185,1.4565,3.24275,0.84775,-0.90075,0.75875,-0.635,-1.53725,0.1125,0.83075,0.77775,-0.3965,0.78075,-0.43425,-0.0665,0.26275,0.233,1.04775,-0.18075,0.02025,0.89525,0.7070000000000001,-0.28600000000000003,0.177,-1.37525,0.0555,0.48625,0.239,-0.58525,0.7115,0.8695,-0.654,-0.01125,-0.58275,0.518,-0.77875,0.24625,0.34975,1.181,-0.11075,-0.2215,0.7145,-0.6625,0.3375,-0.15475,0.0034999999999999897,0.23975,-0.1365,-0.90875,0.07325,0.433,0.36875,-1.5855,-0.2325,0.64675,1.53525,-0.51,-0.1545,0.2375,0.97575,0.17175,1.43675,0.0685,-0.494,-0.51475,1.084,-0.05225,1.46125,-0.5065,0.9655,1.46875,0.41575,1.38625,-1.30525,-0.10325,0.31575,-0.451,-0.025,-1.003,-0.04975,0.26325,-0.75475,1.2309999999999999,0.762,0.000250000000000007,0.06625,0.311,-0.2925,0.24225,0.6755,-0.33399999999999996,0.36075,-0.56025,-0.02625,2.043,-0.66375,-0.13725,-0.48700000000000004,0.09175,0.72875,0.0335,0.28625,0.161,0.6275,-0.115,0.88325,0.6565,0.06375,0.4095,-0.48725,0.8695,0.53925,-0.32799999999999996,0.72125,-0.004,1.37225,0.31775
AMHR2,-2.5071666667,-2.2985,-1.10366666666667,-2.17683333333333,-2.423,-2.51033333333333,-2.7388333333333303,-2.519333,-2.3256669999999997,-2.114667,-1.65033333333333,-2.6625,-1.141333,-2.0028330000000003,-1.4112,0.7201666999999999,-2.34266666666667,-2.189333,-2.6925,-2.245167,-1.7436669999999999,-2.70116666666667,-2.2666666666666697,-2.4805,-0.611833333333333,-1.8219999999999998,-1.6851666666999998,-2.9465,-2.33483333333333,-2.2096669999999996,-2.633167,-2.7405,-2.2678333333,-2.54133333333333,-3.286,-1.479333,-2.917,-2.9565,-2.748,-1.469,-0.8843333333333342,-2.06666666666667,-1.5021666666666698,-1.599167,-1.6998330000000001,-2.86683333333333,-2.2168330000000003,-0.1168333333,-2.7496669999999996,-2.395,-2.332,-2.653,-2.3643330000000002,-1.9573333333,-3.3832,-2.8155,-2.4023333333,-2.4016669999999998,-2.097,-2.7235,-2.69783333333333,-2.218,0.162333333333333,-2.658833,-2.262167,-0.0253333333333333,-2.91583333333333,-2.3553333333,0.06883333330000001,-2.37,-2.351667,-0.721,-1.7915,-2.8748333333,-1.424167,-2.035167,-2.7030000000000003,-2.326,-3.3655,-2.4276666666666697,-0.928833333333333,-2.4895,-1.8935,-2.053,-1.8018330000000002,-1.5825,-1.401667,-2.5655,-1.03883333333333,-1.2645,-2.5545,-1.1845,-1.672,-2.3885,-2.4285,-3.06083333333333,-1.6213333333333302,-2.896833,-1.7156669999999998,-2.78466666666667,-1.96216666666667,-2.3445,-1.482,-2.15383333333333,-1.5019999999999998,-1.8765,-2.5485,-2.0263333333,-1.942,-1.9926666667,-2.5446666666666697,-0.7745,-1.7161669999999998,-1.8783333333,-0.9063333333,-2.16,-2.0248333333,-0.744833333333333,-2.652833,-2.0980000000000003,-2.0846666667,-2.60516666666667,-1.9883333333333302,-3.1475,-2.3805,-0.01666667,-0.777333333333333
BID,-0.669375,-0.708375,-1.341125,0.20375,-2.494875,-1.222875,0.1215,-0.05925,-0.507375,0.383625,-0.736125,0.077125,0.01075,0.090875,0.19775,-3.056,-0.7565,-1.385125,-1.046,-0.226125,-1.181875,0.17300000000000001,0.7225,-0.37799999999999995,-1.554375,-0.690625,-0.949125,-0.57575,0.278625,-0.5545,-1.140625,-0.46025,-0.39175,0.095625,-0.298625,-1.961375,-0.111375,0.27575,0.24325,-0.33625,-0.616,-0.9425,-0.894125,-0.915125,-0.066625,-0.41600000000000004,0.287,-0.74775,-0.74525,-0.642125,-0.592875,-0.4065,0.486,0.662,-0.956375,-0.37125,-0.813375,-1.146625,-0.35875,0.275625,-0.99425,-2.8760000000000003,0.06475,-0.42875,-0.74425,0.008249999999999959,-0.86325,-0.6155,-0.667875,-0.104875,-0.271375,-1.9145,-0.4,-1.0125,-0.687625,-0.64425,0.174125,-0.33425,0.140875,0.609625,-1.17525,-0.313625,-0.650375,0.2315,-0.4505,-0.08475,-0.80725,-0.307,-0.3825,-0.718375,0.909875,-0.80125,-0.650625,-0.754,-0.810625,0.098875,-0.42725,-0.9555,-0.656625,-1.091375,-1.697875,0.586875,0.366,-2.271625,-1.6680000000000001,-1.020875,0.272,-0.188875,-0.519875,0.13175,-1.053375,-0.552625,-0.602375,-0.1205,-1.03075,-0.7955,-0.76325,-0.358625,0.522,-0.536125,-0.042125,-0.2965,-0.084375,-0.53725,0.26275,-0.857,-0.8825
ID3,-0.9456,-0.8192,-1.2893,-1.3819,-0.8869,-1.4945,-0.5363,0.2913,-1.1067,-0.5728,-0.5424,-0.7951,-1.0187,-1.4744,1.0641,-1.7374,-1.3314,-1.9986,0.0656,-1.012,-1.3817,-1.0751,-0.9016,-1.5085,-0.6998,-1.2634,-1.1689,-0.8592,-0.7518,-1.2955,-1.2534,-1.7684,-0.9035,-0.9147,-0.4106,-0.5994,-1.6008,-0.6357,-1.1438,-1.5071,-1.4176,-1.2814,-0.4507,-0.7233,-1.08,-1.2479,-1.7733,-1.6192,-0.1388,-0.9612,-1.0645,-1.8607,-1.1343,-0.4837,-1.0938,-0.7802,-1.0555,-0.6092,-0.2702,-1.4187,-0.6534,-1.3762,-1.1925,-0.5942,-1.3957,-0.8742,-0.1967,-1.4142,-1.0992,-0.6988,-0.9438,-2.1932,-0.6631,-1.3119,-1.2013,-1.3492,-1.4938,-1.5192,-2.0939,-0.597,-1.7364,-1.2703,-0.5076,-1.5569,-0.9345,-0.2293,-1.0469,-0.2897,-0.2315,0.0406,-1.3688,-0.5820000000000001,-1.3637,-1.2849,-1.4716,-1.3985,-1.2786,-1.4592,-0.8751,-0.4282,-1.2115,-0.2932,-0.2436,-0.7392,-1.7675,-0.3298,-1.0625,-1.0196,-0.4685,-1.2617,-0.5227,-1.7559,-0.8736,-1.4835,-1.3326,-1.1182,-0.8776,-0.9991,-1.1714,-1.6352,-1.4249,-0.8864,-1.2728,-0.6047,-0.4525,-1.7344,-1.5497
RFWD2,0.9986666667,0.8291666999999999,0.5405,0.8423333333333329,0.592833333333333,-0.241333333333333,0.932666666666667,0.632,1.0375,0.6875,0.8045,1.005,0.4565,0.5711666999999999,0.502333333333333,-0.05266667,0.6495,0.7105,0.146666666666667,0.9786667,0.46483329999999995,-0.125666666666667,1.051,0.6638333000000001,0.28083333333333305,0.4435,-0.1638333333,1.4066666666666698,-0.0646666666666667,0.5553333,1.1095,0.560333333333333,0.5726666667,0.789,0.20583333333333304,0.6731666999999999,0.844666666666667,-0.16783333333333303,0.575166666666667,0.26083333329999997,-0.009333333333333329,0.1075,0.564,0.902,-0.11383330000000001,0.693,1.140833,1.3228333333,0.7423333000000001,0.7355,0.644,0.755166666666667,0.4453333,0.3578333333,0.585333333333333,1.03466666666667,0.4095,0.6335,1.1403333333,0.6858333000000001,0.273666666666667,0.629,0.27483333333333304,0.5075,0.5506667,0.20233333333333303,0.517666666666667,0.1075,0.2676666667,-0.2345,0.2291667,0.09083333,-0.605833333333333,0.2263333333,0.9668333,1.7515,0.649166666666667,1.2990000000000002,-0.0165,0.0583333333333333,0.676666666666667,0.4165,1.574333,0.07683333,0.568,0.7768333333333329,0.9565,0.9901666667,0.4725,0.4806666666666671,0.25566669999999997,0.3793333333333329,0.40733333333333294,0.191,0.793166666666667,1.02333333333333,-0.4931666666666671,0.2716667,0.6758333000000001,-0.1445,0.914666666666667,0.648833333333333,0.42100000000000004,0.0161666666666667,-0.3978333,-0.18366666666666698,0.6375,0.0948333333,0.899166666666667,0.6256666667,0.4203333333333329,0.364,0.4286667,1.2838333333,0.32083333329999997,0.5435,0.7929999999999999,0.9515,0.05433333,1.07733333333333,-0.5746666667,0.597666666666667,0.6595,0.396,0.7678333333,0.19233329999999998,0.565333333333333
MAML2,0.10025,-1.33575,-0.948,-0.99425,-0.99625,-0.653,-0.89825,0.4065,-0.5965,-0.42675,0.47575,-0.6675,0.5105,-1.1395,-0.433,-1.66475,-0.75975,-1.2565,-0.1115,-0.22475,-1.7315,-0.888,-1.015,-0.98,-1.11225,-1.248,-0.9975,-0.72525,-1.23075,-0.36525,-0.22899999999999998,-0.46575,-0.204,-0.71225,-0.0895,-0.20425,-0.39625,-0.66975,-0.7235,-1.53625,0.1575,-0.7305,-0.3815,-0.27925,-1.05,-1.374,-0.8725,-0.06075,-0.4265,-0.5865,-0.8655,-0.48825,-1.0215,0.12300000000000001,-1.68,-1.34475,-1.219,-1.003,0.59825,-0.7675,-1.18225,-1.48525,-1.30475,1.2625,-0.25825,-0.76575,-0.315,-1.4075,-0.62875,-0.22375,0.0315,-0.46525,-1.081,-0.60725,-0.41425,-0.677,0.58675,-1.4580000000000002,-1.94425,-0.80325,-0.88075,-0.54175,-0.1385,-0.9615,-0.62075,-0.001,-0.85325,0.5875,0.07075,-0.214,-0.24225,0.1005,-0.5345,-0.77225,-1.327,-1.36075,-1.3940000000000001,-0.81775,-0.00675,0.0555,-0.968,-0.667,-0.8775,-0.80625,-1.11025,-0.136,-0.573,-0.71075,-0.409,-0.77375,-1.16125,-0.60825,-0.038,-0.9990000000000001,-1.13475,-0.24375,-0.63325,-0.302,-0.68425,-1.73875,-0.8425,-0.15275,-0.8225,0.0035,0.2785,-0.95825,-0.7
PPP3R2,0.019,0.1291667,0.350166666666667,0.255166666666667,0.242,0.3944,1.4158,0.3488333,0.2866667,0.228,0.2105,0.231,0.1401667,0.3388333,0.2,0.18600000000000003,-0.1572,0.2993333,0.391,0.6715,0.0855,1.21775,0.672333333333333,-0.08633333,-0.0341666666666667,0.6136666667,0.2926666667,0.4276,0.1535,-0.2075,0.23566669999999998,0.113,0.0225,-0.28166666666666695,0.543833333333333,-0.19283329999999999,0.0985,0.4403333333333329,0.1265,0.0996666667,0.300333333333333,0.4351666666666671,0.15133333333333301,0.1781667,0.9468333000000001,0.03,0.0685,-0.3276,0.45016670000000003,0.0136666666666667,0.46016666700000003,0.553833333333333,0.4715,0.3933333333,0.5548,0.679,0.1111666667,-0.036000000000000004,0.0155,0.2336667,0.0283333333333333,0.2743333333,0.0166666666666667,0.5003333,0.5425,0.0593333333333333,0.4631666666666671,-0.23466666670000003,0.0023333333,0.3406667,0.1131667,0.06933333,0.17925,0.1293333333,0.2888333,0.6679999999999999,0.3973333333333329,-0.08333333,0.4371666666666671,0.11383333333333301,0.120333333333333,-0.3573333333333329,0.003833333,0.3356667,-0.1643333,0.4728,-0.3775,0.0131666667,0.2498,-0.5274,0.6983333,-0.2915,0.23583333333333303,0.6513333,0.0748333333333333,0.6013333333333329,0.8441666666666671,0.2933333,0.2596667,0.550333333333333,0.178833333333333,0.4375,0.1345,0.111333333333333,0.12416669999999999,0.0331666666666666,-0.1972,-0.0506666667,1.119,0.1324,0.3692,0.4075,0.002166667,0.2325,0.1308333333,0.000666666666666681,0.20283333329999997,-0.1345,0.054000000000000006,0.0194,0.3331666667,-0.4546,0.32883333333333303,0.275666666666667,0.1318333333,0.4305,0.668833333333334
FAS,0.007625,-1.010625,-0.193875,-0.473375,-0.510875,-0.655125,0.035125,0.80675,0.940875,0.012625,1.316625,-0.4105,1.2215,0.05175,-1.531125,-2.06675,0.267625,-1.58475,-0.24425,0.712875,-1.338,-0.95825,0.204875,-0.44575,-0.49225,0.307875,-0.365,0.03975,-1.1340000000000001,0.204375,0.063125,1.40575,0.529,0.72925,2.152125,0.156125,-0.096,-0.080875,0.18475,-0.021625,0.743125,0.4785,0.741,-0.043125,-0.693875,-0.06975,-0.316,-0.5589999999999999,0.12825,0.55425,0.29425,-0.832875,0.481875,-0.31075,-0.0325,-0.600375,-0.493625,0.112625,1.454875,0.14525,-0.643875,-2.020375,-1.069875,1.902375,0.20725,-0.709625,0.34,0.141625,-0.452625,0.357375,1.156875,-0.10575,-0.48775,0.35100000000000003,-0.368,-0.4895,2.26525,-1.61575,-0.319375,0.117125,-3.23375,0.63375,0.273375,-1.5595,1.389625,0.867875,0.94175,1.87475,1.092625,0.684375,0.521625,0.947625,0.45525,0.9485,-1.864,-0.0565,-1.60525,-1.290875,1.373375,0.83525,-0.452625,0.576375,1.208375,-0.743,-0.35225,0.105625,-0.976625,0.70425,-0.4325,2.186875,-0.90525,-0.00487499999999999,0.19525,-0.473875,-0.44775,0.9085,-1.0485,0.3025,-1.07675,0.57125,-1.852375,0.77725,1.051875,-0.206875,0.953875,-1.050875,-0.660625
TP73,0.41825,0.213875,0.02175,-0.094375,-0.090375,-0.415125,-0.70425,0.537125,-0.313,-0.082125,-0.32675,0.413125,0.211875,0.278125,0.30975,0.058375,-0.154,0.143625,-0.135625,0.185125,-0.370875,0.082375,0.462125,0.508375,0.4425,0.48275,0.223625,-0.2015,0.114375,-0.42275,0.692375,0.10125,-0.338875,1.02975,-0.018125,-0.042625,-0.0105,0.23,0.078,-0.266625,0.338375,-0.68125,0.13175,0.476625,0.950625,0.2235,-0.417125,-0.11325,-0.140625,-0.3035,1.114,1.18775,0.3285,-0.1375,0.086,-0.0645,-0.043125,0.98025,-0.284,0.9059999999999999,-0.390125,-0.521375,0.34125,-0.350125,0.693625,-1.27525,-0.248375,0.054000000000000006,0.0795,0.27925,-0.31425,0.981,-0.260625,0.5805,0.04425,0.513375,-0.387625,0.022125,-0.165,-0.497125,0.595625,0.378625,-0.2575,1.068375,-0.38925,0.034125,0.258625,0.77475,0.284125,0.9035,0.264625,0.402875,0.575625,-0.388375,-0.327625,-0.30175,-0.736625,0.09425,0.150875,-0.517,0.262,-0.309875,-0.057625,-0.01875,0.145,0.424,0.59925,-0.2405,0.95925,0.323375,0.5245,0.152,-0.18875,0.5825,0.22575,0.082875,0.073875,0.504,0.412125,-0.031125,0.152125,0.00437500000000001,-0.016875,0.589875,-0.16375,0.30025,0.28775
APAF1,-0.605,-1.22,-1.081,0.1995,-0.45,-0.2305,-0.22399999999999998,-0.6435,0.0075,-1.064,-0.706,-1.2670000000000001,-0.139,-0.5545,-0.6715,-0.5475,-1.7930000000000001,0.3185,-0.6695,-2.155,-1.4465,-0.7125,-0.5565,-1.063,-0.3455,-1.0115,-1.193,-1.2075,-0.9235,-1.2955,-0.1875,-1.182,-0.7475,-0.44,-0.5375,-0.8515,-0.652,-2.2165,0.019,-1.4280000000000002,-0.8645,-1.7275,-0.9845,-1.1015,-2.296,-0.9385,-1.1735,-0.772,-0.5635,-0.8385,-0.4665,0.8515,-1.3515,-1.3880000000000001,-0.373,-1.038,0.3455,-0.929,-1.4580000000000002,-0.7655,-0.221,0.05,-0.2485,0.1435,-0.2245,0.3615,-0.45899999999999996,-1.1695,-0.306,-0.573,-0.0405,-0.0135,-0.4205,-0.1475,-0.506,-0.9045,-0.313,-0.237,-0.67,-0.762,-0.389,-1.956,-1.5475,-0.47200000000000003,-1.2045,-1.1495,0.5315,-1.892,-0.2855,-1.3765,-1.0265,-1.111,0.317,0.0535,-0.5335,0.9755,0.1295,-2.089,-0.879,-1.2890000000000001,0.2085,-0.1225,-2.1095,-0.515,-0.28300000000000003,-1.024,-1.501,-0.518,0.3785,-0.2355,-1.0115,-0.8575,-1.476,-0.1225,0.2,0.28300000000000003,-1.084,-0.147,-0.1715,-0.722,-0.4375,0.2575,-0.062,-1.1375,-0.5345,0.1485,-0.6365
ACVR1C,-1.57,-0.8263333,-1.14666666666667,-1.24216666666667,1.03916666666667,-0.7738,-0.4265,-1.6656669999999998,-0.069,0.09833333,2.84133333333333,-1.183167,-1.48,-0.6538333000000001,-2.0778333333333303,-0.9138333000000001,1.2525,-1.149667,-0.558166666666667,-0.71,-0.45516670000000004,-0.154666666666667,0.0486666666666667,-0.1668333,-0.6579999999999999,-1.1618333333,-1.3538333333,-0.55,-2.2588333333333304,-0.2801667,-0.6448333,-0.831833333333333,0.563,0.5121666666666671,-0.341166666666667,-0.087,0.0368333333333333,2.6041666666666696,-0.5071666666666671,-1.4755,-1.7790000000000001,-0.5975,0.113166666666667,-1.208833,-1.8995,-1.29016666666667,-0.2971667,-0.32233333329999997,-1.419167,0.570166666666667,-0.7090000000000001,-1.08483333333333,-0.48616670000000006,-1.8941666667,0.946833333333333,-2.24066666666667,-0.24633333329999998,0.7063333,-0.1533333333,-0.8113333,-1.6385,0.6696666667,-2.349,0.9815,-0.2868333,0.1505,-1.1245,2.7141666667,-0.4131666667,-0.2245,0.1675,-0.04266667,-1.06583333333333,-1.1778333333,-0.2135,-0.7138333,-0.0295,1.301333,0.0553333333333333,0.150166666666667,-1.22,-0.29600000000000004,-1.0055,1.775,0.9355,1.8851666666666698,0.12366669999999999,1.7671666666999999,-0.3175,-1.7351666666666699,-1.088833,4.9910000000000005,0.901166666666667,-1.019167,0.869666666666667,-2.122,-1.7515,-0.7066667,3.217167,0.00950000000000001,0.4156666666666671,0.0246666666666666,0.23983333329999998,-1.1508,-1.052,-1.8505,-2.3065,-0.6776666667,-1.5525,-1.0001666667,-1.14883333333333,1.07366666666667,0.2786667,-0.3023333333,-0.5458333333,0.9685,-0.628,-1.8326666666666698,-0.6703333,-1.2913333333333301,-0.1135,-1.7738333333333303,0.670333333333333,0.578666666666667,2.9523333333,-0.5675,-0.095
RBX1,-0.08800000000000001,0.00575,0.9165,-0.034,0.60825,0.35125,0.354,0.46025,0.18825,-0.012,0.19225,0.3595,0.08900000000000001,0.3425,0.14575,-0.51625,0.005,-0.20875,-0.16399999999999998,-0.187,0.141,0.003,-0.6035,0.38025,-0.594,0.075,0.40575,0.3215,-0.22975,0.22025,-0.4245,0.10575,0.027000000000000003,0.10425,0.0265,-0.2375,-0.17525,-0.706,0.3655,-0.091,-0.475,-0.223,-0.63775,-0.98075,-0.78975,-0.778,-0.08575,-0.4,-0.03,-0.39775,-0.5785,-0.49025,0.00575,-0.672,-0.59425,-0.29075,-0.25825,-0.42575,-0.00475,0.07575,-0.7709999999999999,-0.26725,-0.1285,-0.245,-0.1815,0.5915,-0.1375,-0.28425,0.25275,-0.071,-0.055,1.14475,-1.16325,-0.47125,-0.41825,-0.644,-0.27925,0.44225,0.23575,-0.08475,-0.56225,0.07200000000000001,-0.8255,0.1005,-0.0235,-0.1175,0.03125,0.157,0.68725,-0.24575,-0.37200000000000005,0.02575,-0.75475,0.314,0.26425,-0.39875,0.2435,-0.049,-0.06275,-0.253,-0.606,0.56,0.595,-0.86775,0.17925,1.0859999999999999,0.33125,0.35525,-0.0875,0.00725,-0.037000000000000005,-0.56475,-0.0415,-0.51475,0.16975,-0.25025,-0.12300000000000001,-0.08900000000000001,0.52,-0.166,0.3415,0.5965,0.9265,-0.12525,-0.33575,0.402,-0.5375
ATM,-1.3979166666999998,-2.28775,-2.16866666666667,-1.5360833333333301,-1.8969999999999998,-2.64441666666667,-1.79383333333333,-1.399417,-1.025083,-2.012833,-1.1953636363636397,-1.566583,-0.20775,-2.0403330000000004,-0.139818181818182,-1.88525,-1.6318181818181798,-2.1035,-1.67525,-1.56675,-2.4803330000000003,-2.52666666666667,-2.84183333333333,-0.983,-1.18733333333333,-1.4623333333000001,-2.0506666666999998,-1.6071666666666697,-1.672,-1.652,-1.19875,-1.50025,-1.6655833333,-1.5919999999999999,-1.27075,-1.3875,-1.94808333333333,-2.37125,-1.3950833333333301,-2.1576666667,-1.714,-1.30383333333333,-1.94875,-1.7739169999999997,-1.25375,-1.8036666666666699,-2.462167,-1.3998333333000001,-2.30775,-2.5334166666666698,-1.87625,-2.55691666666667,-1.627667,-1.9975833333000002,-1.62358333333333,-1.37041666666667,-1.9505833333000002,-1.249091,-1.3069166667,-2.014417,-2.0105,-2.37525,-2.38666666666667,0.3205,-2.2198330000000004,-2.06154545454545,-1.7615454545454499,-1.3700833333000002,-1.7193636363999998,-1.284,-0.8245833,-0.9909167,-1.4941666666666698,-1.4036666667,-0.88075,-1.28575,-0.316090909090909,-2.044,-1.4884166666666698,-2.77266666666667,-2.20958333333333,-2.10727272727273,-1.178333,-0.8781667,-1.9680000000000002,-1.68883333333333,-1.776833,-1.7061666667,-1.1330833333333301,-1.8229166666666698,-0.6976667,-1.4841666666666697,-0.927583333333333,-1.678333,-2.0883333333333303,-2.43516666666667,-1.9810833333333302,-1.683083,-1.656667,-1.80708333333333,-2.04090909090909,-1.72345454545455,-1.8646666666999998,-1.06,-1.429167,-1.6995833333333301,-1.5080833333333301,-1.39225,-1.37841666666667,-1.2929166667,-1.69008333333333,-1.33775,-1.118833,-1.9390833333000002,-1.4486666666999999,-1.17208333333333,-1.18825,-1.5485,-2.5099169999999997,-1.6428181818181797,-1.7933333333,-1.49333333333333,-1.74533333333333,-1.20158333333333,-1.28075,-1.262,-1.735
