,TCGA-A2-A04W,TCGA-A2-A04X,TCGA-A2-A0CL,TCGA-A2-A0CX,TCGA-A2-A0CY,TCGA-A2-A0D1,TCGA-A2-A0EQ,TCGA-A2-A0T1,TCGA-A8-A075,TCGA-A8-A076,TCGA-A8-A07B,TCGA-A8-A07I,TCGA-A8-A081,TCGA-A8-A08B,TCGA-A8-A08J,TCGA-A8-A08L,TCGA-A8-A08X,TCGA-A8-A092,TCGA-A8-A094,TCGA-A8-A09G,TCGA-A8-A09X,TCGA-A8-A0A7,TCGA-AN-A04C,TCGA-AN-A0FV,TCGA-AO-A03L,TCGA-AO-A03N,TCGA-AO-A0J2,TCGA-AO-A0JE,TCGA-AO-A12D,TCGA-AR-A0TX,TCGA-AR-A1AT,TCGA-B6-A0I9,TCGA-B6-A0IK,TCGA-B6-A0RH,TCGA-B6-A0RS,TCGA-BH-A0AW,TCGA-BH-A0B7,TCGA-BH-A0DZ,TCGA-BH-A0EE,TCGA-BH-A0HY,TCGA-BH-A18P,TCGA-BH-A18R,TCGA-BH-A1EV,TCGA-C8-A12L,TCGA-C8-A12P,TCGA-C8-A12Q,TCGA-C8-A12T,TCGA-C8-A12Z,TCGA-C8-A130,TCGA-C8-A135,TCGA-C8-A137,TCGA-C8-A138,TCGA-C8-A1HF,TCGA-D8-A13Z,TCGA-E2-A14P,TCGA-E2-A14V,TCGA-E2-A152,TCGA-E2-A1B0
CAPN1,0.9595,-0.46233333333333293,-0.2045,-1.58716666666667,0.8136667,-0.21166669999999999,0.07083333,0.377,0.5073333333,0.3711666666666671,-0.3211666667,-0.39783333333333293,0.312166666666667,0.2621667,0.707333333333333,-0.20016666666666696,0.309666666666667,0.121833333333333,1.178333,0.5088333333333329,0.3873333333333329,0.2728333,0.441,0.7095,0.942333333333333,-1.3685,-0.0738333333,-0.40399999999999997,-0.18,0.821,0.3231667,-1.72266666666667,0.16699999999999998,1.18566666666667,0.7168333,0.10099999999999999,0.9865,0.6761666999999999,-0.696166666666667,1.003167,-0.6273333000000001,0.22466666670000002,0.268666666666667,-0.611333333333333,0.678833333333333,-0.3453333,1.2355,0.18899999999999997,-0.0203333333,1.3358333333,1.2478333333,0.9445,-1.2665,-0.114,1.768,-0.685,0.3551666666666671,-0.307
EIF4E2,0.0095,0.3705,-0.2855,0.00825,-0.85025,-0.0295,-0.0465,0.03,-0.009000000000000001,0.05675,-0.66,-0.15025,0.1255,-0.7909999999999999,-0.43,-0.45025,-0.41775,-0.6085,-0.083,0.2425,-0.214,-0.01825,-0.138,-0.5275,-0.22375,-0.04075,-0.08275,0.52575,0.20625,-0.5385,-0.111,-0.804,0.2785,-1.071,-0.47125,-0.5715,0.04875,-0.10025,-0.22525,-0.17925,0.0595,-0.16699999999999998,-0.5575,-0.52925,-0.354,0.24225,-0.60275,-0.61925,0.038,-0.077,-0.877,-0.62625,-0.07625,0.0545,0.28975,0.08825,-0.0585,-0.23725
DVL1,-0.5451666666666671,-0.21600000000000003,-0.8013333,-0.9845,-0.5493333,0.2486667,-0.272,-0.6673333,-0.2661666667,-1.002,-0.3195,-0.4341666666666671,-0.4798333333333329,-0.15516670000000002,-0.5446666666666671,0.5101666666666671,-0.3841666666666671,-0.612666666666667,0.2138333,-0.6235,-0.307833333333333,-0.9171667,-0.4461666666666671,-0.5271667,-0.836833333333333,-0.7421667,-0.5703333333,-1.094833,-0.9721666666666671,-0.5271666667,-0.9758333,-0.564333333333333,0.21916666666666698,0.5275,-1.237833,0.2701667,-0.4505,0.2856667,0.24916666666666698,-0.5066667,-0.1731667,-0.7515,1.5648333333333302,-0.40816666666666707,-0.627333333333333,-0.04533333,-0.311166666666667,-0.588,0.1806666667,-0.7668333333,0.156,-0.20416666670000003,-0.3955,-0.4476666666666671,-0.052166666699999996,-0.8735,0.133,0.3355
CDKN2B,2.09425,0.759416666666667,0.20975,0.887166666666667,-0.6298333,-0.486,-1.319917,0.7528333,0.0245833333,0.131083333333333,0.36316666670000003,1.05275,0.0841666666666667,0.5756667,0.4874166666666671,-0.0273333333333334,1.3991666666666698,0.2265,0.14983329999999997,0.0214166666666667,0.752,0.9559167,0.762916666666667,0.5375833000000001,0.74975,0.4715833,0.7231666667000001,1.465083,0.816666666666667,0.4888333333,-0.75325,-0.700833333333333,1.5783333333333303,0.990666666666667,0.5595833,-0.3203333,0.255583333333333,0.67175,2.81175,1.207,-0.004416667,0.2718333333,0.876166666666667,-0.837833333333333,2.783,1.124,1.06525,0.00333333333333332,-0.0163333333,1.9448333333,0.72425,0.5305,0.10625,2.01891666666667,-0.8198333333,-0.12375,0.822333333333333,0.637333333333333
RPS6KA2,1.54214285714286,-0.0931428571428571,0.6894286000000001,0.48957142857142893,1.661786,1.596357,0.7047143,0.9622857,0.0036428571000000002,0.533428571428571,0.0195714286,1.15842857142857,-0.77,-0.534,0.5105,1.05164285714286,1.57514285714286,-0.48878571428571393,0.7118571,0.8754285714285709,1.20071428571429,1.023357,-0.24242857142857102,0.6083571,0.180214285714286,0.9451429,-0.0962142857,0.20392860000000002,0.23157142857142898,1.3628571428999998,0.08078571,-0.6268571428571429,0.27778571428571397,1.18128571428571,-0.2637143,2.120071,2.0180000000000002,0.2502143,1.10978571428571,-0.1835,1.106857,-0.11535714289999999,-0.4053571428571429,0.287571428571429,0.0699285714285714,0.8647857,0.6545,0.647571428571428,1.0105,1.5940714286000002,0.8,0.9156428570999999,0.118571428571429,2.68014285714286,1.7901428571,-0.554142857142857,1.3285,0.9943571428571429
GADD45B,2.002,0.861,1.6595,1.63625,0.304,0.57,0.42425,0.89275,1.1825,1.1440000000000001,0.9940000000000001,1.06525,0.99425,0.927,0.7935,0.9425,2.0745,0.34825,1.40675,0.10425,1.03325,1.45125,1.15825,0.8665,1.76075,1.3090000000000002,0.9520000000000001,1.1425,1.733,1.19375,1.4585,1.13825,0.45875,2.0645,1.88275,0.58025,1.56825,1.8195,1.014,0.83025,0.85175,1.67675,1.1595,0.961,1.248,0.862,1.73925,0.5965,0.6345,1.14,0.94425,2.15825,0.8555,1.00125,1.36825,1.71675,1.0205,1.25725
CSNK1E,0.0056666666666666705,-0.34758333333333297,-0.11533330000000001,-0.160083333333333,0.5705,0.6023333000000001,-0.2028333,-0.4675,-0.9491666667,-1.10058333333333,-0.9920833333,-0.796166666666667,0.0986666666666667,0.32,-1.07675,0.7295,-0.105833333333333,-1.18325,0.16025,-0.149916666666667,-0.4675833333333329,-1.336917,-0.108083333333333,0.1628333,-0.31391666666666695,0.1675,0.3336666667,-0.3133333,-0.4223333333333329,0.1365,-0.46433329999999995,-1.07375,0.714083333333333,-0.0305,-0.37916669999999997,-0.9625,-0.3886666666666671,0.5993333000000001,-0.165333333333333,0.31466669999999997,0.3674167,-0.297,-0.4175833333333329,-0.346333333333333,-0.32075,-0.2646667,-0.341,-0.29658333333333303,-0.4691666667,-0.40491666670000004,-0.7223333332999999,-0.36525,-0.142833333333333,0.166583333333333,-0.0656666667,-0.17941666666666697,1.8381666666666698,-0.369
SESN1,-0.124625,0.4255,2.0565,1.375125,-1.0659999999999998,0.910875,1.17475,-0.374625,-0.236625,-0.02175,0.3875,0.882,0.024375,-0.334625,0.40025,1.61975,-0.432125,-0.8055,0.56575,0.21899999999999997,-0.394375,-0.018125,2.626375,-0.40700000000000003,0.62925,-0.270625,-1.70575,0.746125,0.750875,0.41875,0.592625,0.9,-0.627,-0.266125,0.111375,0.914625,1.145125,1.515125,-0.929375,-0.401375,0.7929999999999999,1.2625,1.2985,0.533125,-0.17375,1.258625,1.073,0.184,-0.76075,-0.17725,0.779375,0.503875,0.63475,1.127125,1.094875,3.8895,0.091375,0.11425
NUMB,-0.2425,-0.05,-0.39925,-0.11925,-0.7535,-0.1545,-0.70425,0.196,0.495,0.35600000000000004,0.0775,-0.01975,-0.23199999999999998,0.04975,0.01175,-0.968,-0.018000000000000002,-0.289,0.3815,0.249,0.03275,-0.30275,-0.2515,-0.05025,0.18475,0.24025,-0.085,0.4985,0.56475,0.282,0.23,-0.57175,0.6255,-0.10125,0.47825,-0.5135,-0.15275,-0.13375,0.81175,-0.087,-0.06525,-0.4635,0.57425,-0.1655,0.23,-0.53775,0.27275,0.14975,0.16175,0.018000000000000002,-0.08425,0.608,0.01825,0.15325,0.25375,-0.19525,0.1975,0.43525
ZFYVE16,-0.10527777777777803,-0.000166666666666676,0.4298889,-0.318444444444445,-1.323167,0.10833330000000001,-0.259,-0.3681667,-0.2673888889,0.21372222222222198,-0.3918888889,0.576611111111111,-0.242833333333333,-0.4001667,-0.4055,-0.48044444444444395,-0.8523888888888891,-0.29494444444444395,0.21655560000000001,-0.16994444444444398,0.222388888888889,-0.29994440000000006,-0.43161111111111106,-0.06816667,0.456777777777778,-0.04438889,-0.7344444444,-0.31505559999999994,0.461277777777778,0.5630555556,-0.3315,0.6824444444444441,0.7035555555555559,-0.33055555555555605,0.22827779999999998,-0.5088889,-0.302333333333333,-0.3088889,0.13694444444444398,-0.29294440000000005,0.21272220000000003,1.0086666667,0.34388888888888897,0.361944444444445,0.0603333333333333,-0.08788889,0.5061666666666671,0.427222222222222,-0.9148333332999999,0.5699444444,0.273,-0.6238333333,-0.3905,-0.858166666666667,-0.4173333333,0.535555555555556,0.143611111111111,-0.293388888888889
PIK3R1,3.4384285714285694,0.530571428571428,2.167143,0.846,0.6323571,2.295714,0.7692143,1.275714,0.3286428571,0.832642857142857,2.2112142857,1.09157142857143,0.23800000000000002,1.8139290000000001,0.629357142857143,2.15021428571429,1.66592857142857,0.24035714285714302,1.991143,1.5972142857142901,2.01064285714286,0.6604286,3.1041428571428598,1.009357,1.82542857142857,1.396929,0.8051428570999999,3.138429,3.52371428571429,2.4372142857,2.8435,0.723,1.642,2.477,1.365286,1.308714,3.06028571428571,0.9921429,3.63514285714286,1.921929,1.169286,1.4225,0.9995714285714291,2.25671428571429,2.73,2.150214,1.9439285714285701,2.18135714285714,0.08935714289999999,2.3823571429,1.6032142857,0.5485,2.70321428571429,2.38585714285714,2.5147142856999998,1.61335714285714,2.5789999999999997,2.4170714285714303
IGFBP3,-0.9922142857142858,-2.23364285714286,-0.9441429,-0.9357142857142858,-2.006643,-1.939143,-2.727357,-1.4462139999999999,-2.2760714286000003,-2.19914285714286,-1.5937857143,-1.9689285714285703,-2.41285714285714,-2.7405,-2.30414285714286,-1.8615,-1.7714285714285702,-2.78385714285714,-1.310214,-2.6695,-2.04042857142857,-2.0865,-2.47907142857143,-1.882571,-2.11471428571429,-1.6975,-2.758,-1.199929,-0.8045,-1.9247857143,-2.639571,-2.9330714285714303,-2.17985714285714,-0.3858571428571429,-1.714143,-2.2517139999999998,-2.4502857142857097,-1.304286,-2.5962142857142902,-2.0022860000000002,-2.455571,-2.2255,-2.44157142857143,-0.4931428571428571,-2.6374285714285697,-2.233286,-1.5682142857142902,-2.7171428571428597,-2.0212142856999997,-2.5660714286,-2.3325714286,-1.0175,-2.06685714285714,-2.5099285714285697,-2.4987857143000003,-2.452,-1.31771428571429,-2.9030714285714305
WNT7B,2.2939,-0.8757,2.1192,0.7327,0.26,2.7489,1.8449,2.5322,2.0572,1.8587,3.5142,1.9946,2.1409,1.2516,1.5609,1.1188,2.5985,1.0888,2.3274,0.5796,2.6646,1.4426,2.18,1.8447,0.4889,1.4819,2.0785,0.9344,0.5204,1.1135,-0.3951,0.3768,2.7880000000000003,1.3443,0.7713,0.2589,1.0747,2.2896,0.9646,3.1068,3.0579,2.6278,-0.152,1.7235,-0.0715,2.9543,2.4539,1.5313,1.5324,1.2656,2.1719999999999997,1.8372,-0.8546,0.1164,2.9991,2.0695,2.7237,1.6537
SMAD6,-0.79925,-1.20825,-1.078,-1.2109999999999999,-0.25475,-1.19275,-1.8145,-0.419,-0.58725,-0.84175,-0.7235,-0.67625,-0.89925,0.2955,-0.6945,-0.961,-0.9585,-0.76375,-0.25825,-0.1965,-0.9875,-1.25025,0.02625,-0.7895,0.162,-0.1305,-1.046,-0.57825,-0.8515,0.02725,-0.6459999999999999,-1.939,-0.5235,-0.13025,-0.96775,-0.968,-0.36925,-0.09300000000000001,-0.68075,0.54125,-0.0865,0.003,-0.05875,-0.9475,0.71725,-0.8705,-0.62725,-1.2055,-0.961,-0.723,-0.70725,0.7945,-1.57075,-0.88975,0.37200000000000005,-0.4715,-0.26425,-1.05225
XRCC2,-1.369,-1.8435,-1.405333,-1.25816666666667,-1.9418330000000001,-1.042833,-0.9895,-1.566167,-1.5988333333000002,-1.4353333333333302,-1.157,-2.37733333333333,-0.7211666666666671,-1.373833,-1.9033333333333302,-0.7485,-1.4303333333333301,-0.4478333333333329,-1.833667,-1.11133333333333,-1.9968333333333301,-1.481833,-1.8980000000000001,-2.3305,-2.53366666666667,-0.8746666999999999,-1.459,-2.0043330000000004,-2.19666666666667,-2.3241666667,-1.390833,-1.6458333333333302,-1.8955,-2.12066666666667,-2.0308330000000003,-2.208333,-2.11283333333333,-2.416,-1.42,-1.416333,-1.6776669999999998,-0.7148333333,-1.8461666666666698,-1.8195,-1.0954,-1.4985,-1.9245,-2.2906666666666697,-1.2583333333,-2.0003333333,-1.9473333333,-2.1775,-1.8788333333333302,-1.3891666666666698,-0.9838333333,-0.8905,-0.478,-1.69283333333333
CHEK1,-2.678375,-2.4130000000000003,-2.1695,-2.0005,-2.4205,-0.87075,-2.869125,-2.08575,-1.4165,-1.037125,-2.508375,-2.532625,-2.659,-1.25375,-2.332875,-1.399375,-2.20975,-1.097625,-2.456375,-1.527,-1.825625,-2.734875,-1.308875,-4.060375,-2.223875,-2.195375,-1.241125,-1.97225,-2.80775,-2.550625,-1.426625,-2.263875,-2.72175,-2.822875,-0.803875,-2.377125,-1.936,-2.03575,-1.0265,-2.669125,-2.7110000000000003,-2.383875,-1.949875,-0.03,-0.8665,-3.091,-0.377,-2.7085,-2.918,-1.5185,-2.989125,-3.43575,-1.399375,-1.185375,-1.479625,-2.146375,-2.61175,-0.91025
PRKAA1,0.26275,-0.524,-1.0015,0.3965,-0.76225,-1.761,-0.7845,-0.02625,-0.0905,-1.2205,-1.51225,-1.6875,-1.69275,-1.58825,-1.7675,-1.00925,-0.44475,-2.19875,-0.77275,1.014,-0.5765,-0.374,-0.021,-1.09075,-1.92375,-0.3625,0.87075,1.334,-0.215,-0.5475,-0.28975,-0.9255,-0.43025,-0.0965,0.10525,-0.17225,-0.237,-1.012,0.129,-0.7885,-1.46475,-0.93875,0.114,0.3245,1.05025,0.14525,-0.909,-0.358,-1.3345,0.91625,-0.32875,-0.551,-1.15175,0.67575,0.44975,-2.32625,-0.736,-0.51675
RRAGA,1.1175,1.03225,0.06825,0.6475,-1.12975,0.39925,-0.41175,0.86275,0.41625,0.05325,0.204,1.037,-0.52075,1.195,0.53975,1.003,1.07675,0.64475,0.42100000000000004,0.75225,0.70675,0.49425,-0.16875,0.85625,0.3155,0.46975,0.9415,0.42525,0.3965,0.94175,0.698,0.61625,-0.0315,0.50425,1.3725,-0.02975,0.084,0.77125,1.10225,0.324,1.175,0.3755,0.76675,0.091,0.1065,0.1415,0.28225,0.9035,0.099,0.51,-0.77625,0.73675,0.8435,0.0915,0.664,0.7175,0.52425,0.6465
SFN,-1.3998333333333302,0.159833333333333,0.07933333,-1.53916666666667,1.284667,0.9653333000000001,-0.9268333000000001,-0.2073333,-0.7418333333,-0.23266666666666697,0.1358333333,-0.165666666666667,-0.6925,0.7490000000000001,0.3643333333333329,0.307833333333333,1.09116666666667,0.56,0.728,-0.260166666666667,-2.09016666666667,0.01416667,1.4303333333333301,-0.45066670000000003,0.559666666666667,-0.3405,-0.2155,-0.08966667,-0.4301666666666671,-2.9760000000000004,-0.2828333,-0.879666666666667,1.59766666666667,1.5003333333333302,0.3561667,0.1448333,-0.47233333333333294,0.8883333000000001,2.24583333333333,0.4283333,-0.04783333,-0.15483333330000001,-0.00483333333333333,1.01,0.615666666666667,1.033833,-0.26433333333333303,-0.309166666666667,0.25833333329999997,-1.8468333333000002,0.6013333332999999,1.8506666666999998,0.5045,1.5238333333333303,-1.311,0.3923333333333329,0.875166666666667,1.26166666666667
TGFB3,3.43866666666667,2.781,2.854133,2.7882,-0.12853330000000002,5.2038,2.984467,4.0879330000000005,3.8360666667000003,3.092,3.7891333332999997,3.0116,3.43706666666667,4.050133,2.8057333333333303,3.10133333333333,2.76,3.80013333333333,3.7119999999999997,2.233,2.435,3.490933,3.2499333333333302,2.8986,4.41873333333333,3.195933,2.835,3.715067,2.9515333333333302,4.2219333333,3.6772669999999996,2.15506666666667,3.58973333333333,3.16846666666667,3.582333,2.9664669999999997,3.6548,3.0784,1.38233333333333,4.575467,3.5998669999999997,3.8726,3.2992,1.8437333333333301,2.44626666666667,3.023,3.0888666666666698,3.5326,2.9133333332999998,3.6198,3.6074,3.734,3.6803333333333303,2.8198,1.9340666667,2.72566666666667,3.6648,3.6005333333333303
ID4,1.8285,0.319333333333333,-0.2236667,-0.622333333333333,-2.062,-1.6476669999999998,-2.4733330000000002,-0.1283333,-0.4455,-1.21616666666667,-0.6011666667,-0.8045,-2.32166666666667,-0.499,-1.30516666666667,-2.04533333333333,2.1896666666666698,-1.4026666666666698,-1.4245,0.1335,-0.923333333333333,2.5175,-0.343333333333333,-0.38416669999999997,0.0838333333333334,0.9616667,-1.1871666667,-0.12,4.2285,-0.4245,-0.8841667,0.0805,1.4763333333333302,0.0315,4.7163330000000006,-0.9231666999999999,1.63966666666667,-0.3901667,2.3876666666666697,-0.5435,-1.0925,0.9596666667,1.02566666666667,0.0125,2.61,0.4575,-0.145333333333333,0.502,0.843,1.2893333332999999,-0.9253333333,0.1925,-0.145833333333333,0.3445,-0.3288333333,0.5041666666666671,1.9571666666666698,3.09566666666667
IFNG,0.33025,3.47925,4.492,2.34575,0.26925,0.8895,5.57775,3.0895,3.84375,0.76175,0.2645,2.708,5.82225,2.53675,0.99375,2.78,3.17075,0.68875,6.138999999999999,5.102,4.6035,4.882,0.217,0.43325,1.8885,0.39325,2.86975,4.5615,5.23025,5.13925,3.3665,2.8995,2.73425,1.1635,3.242,4.9085,3.2755,2.59325,2.58425,0.2745,3.94025,1.9135,1.44825,4.08475,3.12825,2.42525,2.863,0.795,1.90225,2.1345,1.0795,4.09025,5.2465,3.2995,2.7625,0.907333333333333,0.8195,2.8595
APH1A,1.538625,-1.703,-0.247,0.83225,0.045375,-1.065,-0.68125,-0.820875,-0.79775,-0.698,-0.334625,-0.040999999999999995,-0.06225,0.223375,-0.654,-0.141375,-0.090875,0.901375,-0.20525,0.635625,-0.44925,-1.053125,-0.546125,-0.98075,-0.359125,-1.2285,-0.022625,0.33325,1.196875,-0.643,1.360625,-0.777,-0.341,1.0085,1.0675,-0.253375,0.7885,-0.5865,-0.482375,0.448375,0.7915,-0.53275,2.179875,0.142375,-0.030125,0.957875,0.9365,-0.00024999999999998596,-0.23375,0.603875,0.132875,0.403125,0.350125,-1.069625,0.178625,-0.64475,0.537875,0.682625
SHFM1,1.1015,0.5820000000000001,-0.38575,0.84775,-0.85375,0.1005,0.2915,0.47325,-0.7785,-0.00725,0.61325,-1.17425,0.44325,-0.08925,0.539,0.69775,0.33975,-0.18100000000000002,0.0235,0.30825,0.3715,0.451,0.11175,0.13275,-0.621,1.38925,0.60025,-0.72475,-0.60625,-0.2815,0.03875,-0.435,0.32725,0.81975,-0.19825,0.8075,-0.13625,-0.0795,0.96325,-0.57025,0.36275,-0.59725,-1.36825,-0.24875,0.47875,0.49775,-0.67675,-0.304,0.91525,0.95075,0.08199999999999999,0.654,0.56125,0.37975,0.42875,-0.3655,-0.04325,-0.1515
BIRC8,0.3465,0.94075,0.2765,-0.293,0.4715,-0.04275,-0.226,0.5355,0.25675,0.92075,0.642,0.40825,0.6855,0.37675,0.22725,-0.02875,-0.260666666666667,0.75325,-0.17425,-0.005750000000000029,0.94625,0.32525,0.14325,-0.47175,0.41100000000000003,0.514,-0.4885,0.7120000000000001,0.5905,0.0925,0.64975,-0.80675,0.153,-0.13225,-0.00375,0.86625,-0.2205,0.271,0.5115,0.85875,-0.04975,1.32375,0.6025,-0.1885,0.5425,0.034,-0.1615,0.14625,-0.0075,0.17125,0.79025,0.5085,0.73075,0.5525,0.38975,0.6476666666666671,0.41,0.45325
ACVR1B,0.226666666666667,0.576833333333333,-0.03466667,0.40700000000000003,1.173667,0.5901666999999999,0.5215,0.5755,0.5063333333,0.563666666666667,0.6818333333,0.505666666666667,1.02516666666667,0.5936667,0.5589999999999999,0.307833333333333,0.5275,0.13016666666666699,0.509,0.8835,0.811166666666667,0.8741667,0.665166666666667,0.82,0.704333333333333,0.7555,0.49016666670000003,0.4031667,-0.3035,0.4565,0.3061667,0.0575,0.0623333333333334,0.5308333333333329,-0.136,0.6890000000000001,0.21116666666666697,0.7340000000000001,0.5476666666666671,0.7141666999999999,0.2826667,0.25,0.19833333333333303,0.225,0.22083333333333302,0.4053333,-0.339333333333333,0.313666666666667,0.0788333333,0.5138333333,0.44483333329999997,0.3516666667,0.5268333333333329,0.1235,0.5701666667,0.5121666666666671,0.815333333333333,0.5025
RRAGD,-0.6598333333333329,-0.5923333333333329,-1.068,-0.17300000000000001,-1.8286669999999998,-1.078,-0.5301667,-0.1605,-0.25566666670000004,-0.3848333333333329,-1.5793333333000001,-0.797833333333333,-1.2455,-1.787667,-0.565833333333333,1.03133333333333,0.5485,-0.9711666666666671,-0.649,0.8493333333333329,-0.18833333333333302,-0.1015,-1.34366666666667,-0.6573333,-1.4173333333333302,-1.549333,-0.6866666667,0.1451667,0.29516666666666697,-0.5138333333,0.1023333,-0.9445,-1.13916666666667,0.115666666666667,1.6603330000000003,-0.55,-1.04283333333333,-0.382,0.20916666666666697,-1.432167,-1.183333,-1.4323333333000001,-0.882166666666667,1.1375,0.788333333333333,-0.6523333,-0.40533333333333293,-0.40966666666666707,-1.0546666667,-0.943,-1.6318333333000001,-1.1153333333,-0.313333333333333,1.5343333333333302,-1.2123333333,-1.71266666666667,-0.4748333333333329,0.3405
ULK3,-1.24183333333333,0.344833333333333,-0.7528333,-1.19933333333333,-0.9448333000000001,0.3203333,-0.6988333000000001,-0.5398333000000001,-0.6535,-0.968666666666667,-0.0401666667,0.0538333333333333,-0.7090000000000001,0.22399999999999998,-0.773833333333333,-0.714666666666667,-0.681166666666667,-0.875833333333333,-0.2745,0.4885,-0.2225,-0.6543333,0.28483333333333305,-1.159167,-0.32633333333333303,-1.011167,-1.1811666667,-1.024667,-0.9665,-0.9486666667,-0.47383329999999996,0.0641666666666666,0.1805,0.1375,-0.6865,-0.8841667,-0.20433333333333303,-0.7431667,-0.24366666666666698,-1.1135,-0.3111667,0.597,-0.874166666666667,-0.584833333333333,1.23466666666667,-0.5011667000000001,-0.5431666666666671,-0.4243333333333329,-0.0291666667,-1.1008333333,-0.083,-0.32133333329999997,-1.23483333333333,-0.9028333333333329,-0.1568333333,-0.661333333333333,-0.6859999999999999,-0.3811666666666671
MFNG,-1.20225,0.212875,1.1215,-0.631125,-1.523625,-1.2830000000000001,0.75725,0.902625,-0.36,-0.60625,-0.861125,-0.56675,-0.13375,-0.7295,-0.67325,-0.4595,0.210625,-0.899875,-0.0515,-0.011875,0.3515,1.4525,-0.917625,-1.47275,-0.589,-0.975,-1.00725,-0.204875,-0.130875,0.54475,0.298,-1.074625,-0.3835,-1.585875,-0.617625,0.5479999999999999,0.483125,-0.655375,-1.28575,-1.026,-0.63225,-0.677875,-1.47975,-1.246125,-0.792875,-0.40575,-1.164625,-1.308375,-0.522625,-0.1815,-1.926375,0.115,-0.1545,-0.337125,-0.517375,-1.340875,-0.564375,-0.701625
SMAD5,0.6559999999999999,0.4805,0.5905,0.588,0.139,0.59275,-0.45825,0.74575,0.62175,0.74975,1.01925,0.60625,-0.27575,0.64,0.4485,1.187,0.51275,0.24225,0.172,0.133,0.98025,0.1145,0.93075,0.7195,0.39,1.40725,-0.722,-0.6940000000000001,-0.80825,0.19475,-0.7335,-0.20875,0.253,0.897,0.5635,0.055999999999999994,1.2755,0.899,0.7340000000000001,-0.353,1.643,0.18075,-0.996,0.0925,-0.86525,0.61875,1.3395,-1.4169999999999998,-1.4755,1.09225,1.2715,1.14775,-1.1695,-0.562,0.32575,0.0115,1.676,-0.49700000000000005
MDM4,-1.015625,-0.05525,0.063125,0.42625,0.689875,-0.636875,-0.010875,-0.481625,1.308625,0.06675,-0.575,1.70675,-1.2635,0.361625,0.74525,-0.72325,-0.08025,0.47100000000000003,-1.293625,0.40975,0.22399999999999998,-0.595625,-0.569875,-0.16975,-0.837625,0.649625,-0.049875,-0.05075,0.95325,-1.651,0.6920000000000001,0.977625,-1.383,0.424125,0.292375,-0.82925,-0.872,-1.155125,0.0155,-0.838625,0.442625,-0.19975,-0.237,-0.36475,-1.375375,-0.63025,-0.801375,-0.51475,-0.35775,-0.3865,-0.672875,0.5115,-1.393,-1.57,-1.16525,-0.05875,-0.60375,-0.197375
BIRC3,-1.46933333333333,0.827666666666667,1.9091669999999998,-0.3606666666666671,-2.656,-2.756333,1.149,0.3851667,-0.6655,-0.9645,-2.4993333333,0.142166666666667,-0.395,-0.8816666999999999,-1.642,0.166666666666667,-0.134333333333333,-2.1683333333333303,-0.47,-0.135666666666667,0.4045,0.9091667,-0.590666666666667,-2.2485,-0.3801666666666671,-1.8893330000000002,0.435,0.47183329999999996,1.1058333333333301,0.8935,0.31416669999999997,-0.8085,-0.8491666666666671,-2.0273333333333303,-0.3265,0.265,1.25666666666667,-1.288333,1.31783333333333,-2.3953330000000004,-0.8495,-0.31516666670000004,-2.47316666666667,1.7281666666666697,-0.4925,-0.6829999999999999,-2.0776666666666697,-1.00616666666667,-1.8555,-1.0416666667,-2.471,-0.4298333333,-0.4291666666666671,0.1195,-0.598,-1.492,-1.619,0.229666666666667
CYCS,0.308666666666667,-1.476,-0.5864166999999999,-1.31016666666667,-1.9650830000000001,-0.5220832999999999,-1.09525,-0.9516667,-1.03075,-0.999166666666667,-2.21,-1.00583333333333,-1.3555833333333303,-1.134833,-2.0965,-1.5301818181818203,-0.89125,-1.8363333333333303,-1.351667,-0.0344166666666667,-0.02475,-1.0635,-1.6053333333333302,-0.78025,-1.9133333333333302,-1.174667,-0.8724166667000001,-1.82375,0.0531666666666667,-1.3025833333,-1.627583,-0.929416666666667,0.21558333333333302,-0.89825,-0.72275,-1.225917,-1.30258333333333,-1.4375,-0.31125,-1.880167,-1.555,-0.8870833333,-1.4769166666666698,-1.00991666666667,-0.788166666666667,-1.418417,-0.896083333333333,-1.13716666666667,-1.4735,-1.2868333333,-1.3196666667,-1.6088333333000002,-1.7013333333333303,-1.18008333333333,-0.8178333333,-1.30175,-1.01108333333333,-1.6986666666666699
RPA4,-0.810333333333333,-0.331,0.30333330000000003,0.5268333333333329,2.891167,-0.662,0.8025,0.3386667,-0.7829999999999999,-1.7595,-0.21583333329999999,-1.828,-1.8286666666666698,-0.5796667,-1.1018333333333301,-0.110666666666667,-0.736166666666667,0.4461666666666671,-1.7285,-0.817833333333333,-0.117166666666667,-0.42383329999999997,-0.333666666666667,-1.9465,-2.2946666666666697,0.1748333,-0.5435,-1.181167,-1.63233333333333,-1.3086666667,-0.7783333,0.512,0.591666666666667,0.21116666666666697,-0.06383333,-0.3886667,-0.7340000000000001,-1.576667,0.243333333333333,-1.3615,-2.1585,-1.1951666667,-1.8395,-0.5725,-1.1465,-1.586667,-1.76466666666667,-1.5316666666666698,1.1340000000000001,-0.48200000000000004,-1.1646666667,-0.36916666670000003,-0.885,-0.4983333333333329,0.3038333333,-0.5171666666666671,-0.891333333333333,-0.342
