,TCGA-A2-A04W,TCGA-A2-A04X,TCGA-A2-A0CL,TCGA-A2-A0CX,TCGA-A2-A0CY,TCGA-A2-A0D1,TCGA-A2-A0EQ,TCGA-A2-A0T1,TCGA-A8-A075,TCGA-A8-A076,TCGA-A8-A07B,TCGA-A8-A07I,TCGA-A8-A081,TCGA-A8-A08B,TCGA-A8-A08J,TCGA-A8-A08L,TCGA-A8-A08X,TCGA-A8-A092,TCGA-A8-A094,TCGA-A8-A09G,TCGA-A8-A09X,TCGA-A8-A0A7,TCGA-AN-A04C,TCGA-AN-A0FV,TCGA-AO-A03L,TCGA-AO-A03N,TCGA-AO-A0J2,TCGA-AO-A0JE,TCGA-AO-A12D,TCGA-AR-A0TX,TCGA-AR-A1AT,TCGA-B6-A0I9,TCGA-B6-A0IK,TCGA-B6-A0RH,TCGA-B6-A0RS,TCGA-BH-A0AW,TCGA-BH-A0B7,TCGA-BH-A0DZ,TCGA-BH-A0EE,TCGA-BH-A0HY,TCGA-BH-A18P,TCGA-BH-A18R,TCGA-BH-A1EV,TCGA-C8-A12L,TCGA-C8-A12P,TCGA-C8-A12Q,TCGA-C8-A12T,TCGA-C8-A12Z,TCGA-C8-A130,TCGA-C8-A135,TCGA-C8-A137,TCGA-C8-A138,TCGA-C8-A1HF,TCGA-D8-A13Z,TCGA-E2-A14P,TCGA-E2-A14V,TCGA-E2-A152,TCGA-E2-A1B0
RFNG,-0.575375,0.15975,-0.08725,-0.746125,0.264625,-0.60675,-0.467375,0.811375,0.012125,-0.297125,1.09775,-0.68725,0.144625,-0.357125,-0.1495,-0.364625,-0.0555,0.39325,0.063,-0.069625,-0.132375,-0.6365,0.248125,-0.073625,-0.156375,-0.556,-0.102875,-0.449625,-0.852,0.574375,0.70075,-1.168125,-0.9125,0.377125,0.088875,0.18875,-0.128125,-0.17175,-1.1285,0.45299999999999996,-0.081375,-0.592625,-0.170375,-1.059125,-0.696875,-0.31075,-0.069,-0.663625,0.003125,0.499875,0.88725,0.031625,-0.691,-0.48425,0.235125,-0.37375,0.104125,-0.0505
TNFRSF1A,1.33841666666667,0.46175,0.2998333,0.650583333333333,0.93175,-1.402083,0.10083330000000001,0.5368333000000001,0.2685833333,0.25225,0.5289166667,0.4853333333333329,0.6235833333333329,-0.2625,0.5820000000000001,-0.23366666666666697,0.24991666666666698,0.4510833333333329,0.7535,-0.117333333333333,0.517666666666667,0.1950833,0.4781666666666671,-0.046,-0.0455,0.9315,0.8300833333,0.8633333000000001,0.10341666666666699,0.8985,0.5821666999999999,0.0813333333333333,-0.0288333333333333,1.22158333333333,0.33808330000000003,0.4071667,0.327166666666667,1.202917,-0.3588333333333329,1.456167,0.6019167,0.85475,0.32541666666666696,1.17075,-0.0424166666666667,0.7343333000000001,0.69625,0.46399999999999997,0.8409166667,0.42616666670000003,0.792,0.7194166667,0.542,0.890916666666667,0.72475,0.3525,1.28058333333333,0.106083333333333
NOTCH2,1.1065,0.45975,0.619,1.16375,-0.43475,0.326,-0.14025,0.1685,0.228,0.9125,-0.171,0.096,-0.2775,-0.22425,0.33225,0.8590000000000001,0.2545,-0.7609999999999999,-0.26875,0.4945,0.212,0.34625,0.6415,-0.07200000000000001,0.23399999999999999,0.499,0.34025,0.3925,1.2545,0.61525,0.08875,0.54125,0.71375,0.0825,1.17725,-0.06875,0.9135,0.44125,0.46025,0.855,-0.2395,0.16625,0.53725,1.995,0.4535,0.65025,0.43575,0.61825,0.1655,0.616,0.6759999999999999,-0.1455,0.293,0.2555,-0.10825,-0.001,0.77625,0.49775
RRAGC,1.35475,0.88775,0.81525,1.2990000000000002,2.5625,0.8975,0.98325,1.22875,0.57975,0.7745,0.48825,0.9205,0.09625,0.4795,0.6845,0.97825,0.5825,0.24100000000000002,0.60625,0.45625,0.16475,0.97375,0.39725,0.872,0.19425,-0.09475,0.451,1.00125,0.772,0.51125,1.02825,0.77275,0.02025,0.742,0.9495,0.8445,0.84975,0.623,1.19525,0.871,0.22899999999999998,0.32075,0.96925,0.6315,0.9495,0.84925,1.09,-0.06175,0.11575,0.247,-0.03975,-0.002,0.574,0.8905,1.42625,0.63775,0.59,0.43575
MYC,-1.6964375,-2.2529375,-0.9725625,-0.5035625,0.35600000000000004,-3.7913129999999997,-1.884875,-2.065875,-1.5315625,-2.470875,-0.447375,-1.7654375,-3.1980625,-0.75775,-3.0705,-3.0679375,-1.246,-0.0748125,-3.058625,-3.2882,-1.280125,-3.002625,-0.555125,-2.8635,-1.3123125,-2.437937,-1.1601875,-1.543562,-0.9545,-3.10725,-1.223563,-2.905375,-1.5393125,-2.1578125,0.1535625,-2.8916880000000003,-0.9125625,-1.3388120000000001,-2.7768125,-1.9654369999999999,-3.275187,0.4133125,-2.37375,-1.1216875,-0.871125,-2.0225619999999997,-1.28825,-1.3753125,-1.1011875,0.0429375,-1.8385,-2.96175,-2.2586875,-2.6330625,-2.6865625,-0.64775,-2.838125,-0.670375
WNT16,0.122333333333333,0.317,0.6958333000000001,0.47675,0.105,0.429,-0.03033333,0.2996667,-0.25525,0.313666666666667,0.1175,0.5920000000000001,0.0508333333333333,0.0702,0.13,1.025,0.350333333333333,0.4715,-0.08083333,1.12833333333333,0.74875,0.8828333,0.4345,-0.6111667,0.7435,0.5005,0.32899999999999996,0.7225,0.37799999999999995,0.7214,0.6442,0.18316666666666698,0.473,0.2535,0.467,0.1186,0.706,-0.2736667,0.2332,-0.0515,-0.07766667,0.953,0.5493333333333329,-0.1352,-0.10366666666666699,-0.08516667,0.335666666666667,-0.5579999999999999,-0.7808333332999999,-0.3695,-0.1513333333,0.485,-0.153666666666667,-0.258333333333333,0.0598333333,1.23933333333333,1.2945,0.23383333333333303
SNW1,-0.540125,0.05425,-0.3265,-0.424125,-1.008875,-0.352375,-0.483875,-0.441625,-0.064125,-0.044875,-0.318875,0.024875,-0.568125,0.40875,-0.42525,-0.63,-0.552375,0.01725,-0.374875,-0.23475,-0.458625,-0.669625,-0.94525,-0.129625,0.369,0.27725,-0.079,0.335,0.30725,-0.14225,-0.265125,-0.630875,-0.269375,0.23075,0.20975,-0.633,-0.636875,-0.3415,0.077,-0.10300000000000001,0.01,-0.223125,0.5820000000000001,-0.30325,-0.196,-0.891625,0.052000000000000005,-0.342,-0.237375,-0.311,-0.242375,0.291125,-0.090375,-0.26275,-0.256,-0.302125,-0.2,-0.208875
SMURF2,-0.87875,-0.787,0.128,-0.00499999999999999,-0.58,1.22325,0.29875,0.40275,-0.5015,-0.44425,-0.94575,-0.2205,-0.7385,-1.3780000000000001,-0.22725,0.35575,0.03925,0.331,-0.209,-0.2015,-0.47200000000000003,-0.47075,-0.037000000000000005,0.0745,1.0055,-1.0665,0.26875,0.3625,0.05525,-0.174,-0.141,-0.23800000000000002,-0.1995,-0.58575,1.48325,0.6455,-0.6845,1.30625,-0.53675,0.32899999999999996,-0.4495,-0.8455,0.27725,0.2705,1.03025,-0.14800000000000002,-0.07175,-0.302,-0.89175,-0.337,-1.02325,-0.228,0.1025,-0.222,2.60975,0.2825,-0.15175,0.278
DHH,-0.0755,0.308,-0.0535,-0.002,1.3015,0.7075,0.4595,-0.022000000000000002,-0.204,-0.0805,0.033,-0.007500000000000009,0.267,0.16399999999999998,-0.0765,-0.364,0.3635,0.1215,0.192,0.0365,0.182,0.4275,0.0655,0.0255,0.514,-0.1255,-0.048,0.046,-0.035,-0.2825,0.3465,0.515,0.17300000000000001,0.166,-0.188,0.3175,-0.07,0.4815,0.578,0.36200000000000004,0.0115,-0.022000000000000002,-0.003,-0.0905,0.203,0.348,-0.1955,0.815,0.6970000000000001,0.1045,0.4335,-0.005,0.39799999999999996,0.152,0.07200000000000001,-0.0335,-0.0425,0.16399999999999998
THBS1,2.141625,2.911,1.32575,2.578625,2.513125,1.909875,-0.05375,1.928875,2.959125,2.611125,2.3215,2.977875,0.837375,2.47275,3.91475,0.3175,2.60475,2.22925,2.191375,2.423125,2.393375,2.561875,0.940375,2.443625,3.09075,2.66625,1.626875,2.826125,2.40525,1.22225,0.984375,0.95525,2.418625,3.09925,2.23625,2.12425,2.547875,2.843875,0.11025,2.665,2.585875,2.3080000000000003,2.3325,0.9275,2.339,2.208375,2.6575,2.036,1.9625,1.936375,1.525625,2.006,2.707875,2.255625,1.5715,2.853625,2.52975,2.41125
